# weekly soil temperature (F) at 0 cm depth for snotel sites across Alaska calculated from average daily temperature,,,,,,,,,,,,,,,,
week_start,aniak,eagle_summit,galena,gobblers_knob,gulkana_river,imnaviat_creek,little_chena_ridge,mcgrath,monument_creek,mt_ryan,munson_ridge,nenana,teuchet_creek,tok,upper_chena,upper_nome_creek
4/1/15,,,,,,,32.16666667,,31.5,33,31.5,,30,,,
4/8/15,,,,,,,33,,32,33.83333333,31.83333333,,31,,,
4/15/15,,,,,,,33.66666667,,32.5,34.28571429,32.28571429,,32.14285714,,,
4/22/15,,,,,,,34,,33.71428571,35,31.57142857,,33,,,
4/29/15,,,,,,,34.14285714,,34,35,33.57142857,,33.14285714,,,
5/6/15,,,,,,,36,,37.14285714,35.28571429,34.71428571,,40,,,
5/13/15,,,,,,,39.14285714,,44.57142857,44.42857143,47.57142857,,44.85714286,,,
5/20/15,,,,,,,42.14285714,,48.57142857,49.14285714,56.42857143,,48.57142857,,,
5/27/15,,,,,,,42.14285714,,47.85714286,45,50,,47.57142857,,,
6/3/15,,,,,,,41.57142857,,45.85714286,44,45.57142857,,46,,,
6/10/15,,,,,,,44.57142857,,49.28571429,48,51.71428571,,48.57142857,,,
6/17/15,,,,,,,51.83333333,,55.66666667,54.5,59,,53,,,
6/24/15,,,,,,,53,,54.14285714,52.42857143,55,,52.85714286,,,
7/1/15,,,,,,,54.28571429,,54.14285714,53.57142857,55.71428571,,53.42857143,,,
7/8/15,,,,,,,53.85714286,,53.85714286,51.57142857,54.71428571,,53,,,
7/15/15,,,,,,,52.85714286,,52.28571429,51.14285714,51.42857143,,52.28571429,,,
7/22/15,,,,,,,54.28571429,,52.85714286,52.85714286,54.42857143,,52.28571429,,,
7/29/15,,,,,,,53.2,,51.6,52.4,53.2,,51.4,,,
8/5/15,,,,,,,53.57142857,,52,51.57142857,51.42857143,,51.33333333,,,
8/12/15,,,,,,,51.42857143,,49.71428571,49.83333333,47.8,,47.83333333,,,
8/19/15,,,,,,,49.57142857,,48,47.14285714,46,,47,,,
8/26/15,,,,,,,45.16666667,,42.5,41.85714286,39.83333333,,42.83333333,,,
9/2/15,,,,,,,45.71428571,,41.71428571,43.57142857,42.28571429,,41.42857143,,,
9/9/15,,,,,,,43.57142857,,40.66666667,41.14285714,39.5,,41,,,
9/16/15,,,,,,,39.85714286,,38.42857143,36.71428571,33.57142857,,37.28571429,,,
9/23/15,,,,,,,36.14285714,,34.14285714,33.71428571,31.71428571,,34.28571429,,,
9/30/15,,,,,,,37.71428571,,34.28571429,35,34.85714286,,33.85714286,,,
10/7/15,,,,,,,35.71428571,,34,34.28571429,33,,32.71428571,,,
10/14/15,,,,,,,35.42857143,,33.71428571,33.71428571,34.57142857,,32.71428571,,,
10/21/15,,,,,,,35,,33.57142857,32.71428571,34.14285714,,31.85714286,,,
10/28/15,,,,,,,34.5,,33.28571429,30.85714286,34,,31.85714286,,,
11/4/15,,,,,,,34,,33.66666667,31.28571429,34,,32.33333333,,,
11/11/15,,,,,,,34,,32.85714286,27.42857143,33.42857143,,31.28571429,,,
11/18/15,,,,,,,34,,31.71428571,28.42857143,33.57142857,,30.71428571,,,
11/25/15,,,,,,,34,,32.85714286,33,34.85714286,,31.71428571,,,
12/2/15,,,,,,,34,,31.71428571,31.28571429,34.57142857,,29.57142857,,,
12/9/15,,,,,,,34,,30.28571429,30.16666667,33.57142857,,27.57142857,,,
12/16/15,,,,,,,34,,30,31.33333333,33,,27.5,,,
12/23/15,,,,,,,33.28571429,,29.33333333,29.42857143,33,,26.66666667,,,
12/30/15,,,,,,,34,,30.71428571,32.33333333,33.57142857,,29.14285714,,,
1/6/16,,,,,,,33.42857143,,29.57142857,30.28571429,32.57142857,,27.71428571,,,
1/13/16,,,,,,,33,,28.42857143,30.28571429,32.28571429,,26.14285714,,,
1/20/16,,,,,,,32.71428571,,27,29,32.16666667,,24.57142857,,,
1/27/16,,,,,,,33.57142857,,29.28571429,31.85714286,32.71428571,,26.8,,,
2/3/16,,,,,,,33,,27.42857143,30.42857143,31.85714286,,,,,
2/10/16,,,,,,,33,,28.28571429,30.71428571,31.83333333,,25.8,,,
2/17/16,,,,,,,32.57142857,,27.28571429,29.42857143,30,,24.85714286,,,
2/24/16,,,,,,,33.28571429,,29.85714286,31.85714286,32.28571429,,27.57142857,,,
3/2/16,,,,,,,32.14285714,,29,28.42857143,28.28571429,,26.28571429,,,
3/9/16,,,,,,,32.57142857,,28.42857143,28.42857143,29.42857143,,25.28571429,,,
3/16/16,,,,,,,31.14285714,,28,27.57142857,26.57142857,,24.57142857,,,
3/23/16,,,,,,,33.14285714,,30.14285714,32.42857143,32.57142857,,28,,,
3/30/16,,,,,,,34,,32.85714286,34.71428571,32.85714286,,32.42857143,,,
4/6/16,,,,,,,34.57142857,,34,34.28571429,33.28571429,,32.71428571,,,
4/13/16,,,,,,,34.57142857,,34,34,32.71428571,,32.85714286,,,
4/20/16,,,,,,,35.14285714,,33.42857143,33.85714286,33.28571429,,32.28571429,,,
4/27/16,,,,,,,36.28571429,,36.85714286,35.57142857,35,,37.14285714,,,
5/4/16,,,,,,,37.42857143,,40.66666667,39.33333333,36.28571429,,39.5,,,
5/11/16,,,,,,,40.14285714,,45.57142857,44.71428571,46.71428571,,44.42857143,,,
5/18/16,,,,,,,40.14285714,,44.42857143,44.14285714,45.42857143,,44.85714286,,,
5/25/16,,,,,,,41.57142857,,45.57142857,45.42857143,49.14285714,,45.28571429,,,
6/1/16,,,,,,,43.14285714,,48.71428571,46.5,49.71428571,,48.28571429,,,
6/8/16,,,,,,,45.16666667,,49.16666667,47.5,51.28571429,,49.57142857,,,
6/15/16,,,,,,,50.57142857,,52.42857143,52.28571429,56.14285714,,51.57142857,,,
6/22/16,,,,,,,52.28571429,,53.57142857,51.71428571,55.42857143,,51.42857143,,,
6/29/16,,,,,,,55.28571429,,56,55.42857143,56.57142857,,54.14285714,,,
7/6/16,,,,,,,56.42857143,,56.85714286,56,57.28571429,,55.16666667,,,
7/13/16,,,,,,,57,,56.85714286,56.57142857,57.28571429,,55.42857143,,,
7/20/16,,,,,,,53.85714286,,52.71428571,52.42857143,52,,51.71428571,,,
7/27/16,,,,,,,54.28571429,,53.85714286,54.66666667,54.42857143,,53.42857143,,,
8/3/16,,,,,,,55,,54.85714286,55,55.71428571,,54.71428571,,,
8/10/16,,,,,,,54.71428571,,52.5,53.85714286,53.83333333,,51.83333333,,,
8/17/16,,,,,,,53.71428571,,51.14285714,52.28571429,53.28571429,,51.85714286,,,
8/24/16,,,,,,,52.85714286,,51,52,51.85714286,,50,,,
8/31/16,,,,,,,48.85714286,,45.71428571,46,45.71428571,,43.14285714,,,
9/7/16,,,,,,,45.57142857,,42.14285714,42.71428571,41,,41.66666667,,,
9/14/16,,,,,,,45,,42,42,41.42857143,,41.71428571,,,
9/21/16,,,,,,,42.28571429,,39.57142857,39.71428571,37.42857143,,39.28571429,,,
9/28/16,,,,,,,38.83333333,,35.5,35.57142857,31.85714286,,35,,,
10/5/16,,,,,,,35.14285714,,33.71428571,32.28571429,29.28571429,,31.42857143,,,
10/12/16,,,,,,,33.28571429,,29.16666667,24.71428571,18.16666667,,27.42857143,,,
10/19/16,,,,,,,31.57142857,,25.42857143,24,23,,27.57142857,,,
10/26/16,,,,,,,32.33333333,,26.66666667,27.83333333,24.57142857,,27.57142857,,,
11/2/16,,,,,,,31.71428571,,25.42857143,25.71428571,22.28571429,,25.71428571,,,
11/9/16,,,,,,,32.71428571,,26.14285714,28.28571429,27.57142857,,26.71428571,,,
11/16/16,,,,,,,30.28571429,,26,21.57142857,17.85714286,,22.28571429,,,
11/23/16,,,,,,,28.66666667,,,16,6.666666667,,17.16666667,,,
11/30/16,,,,,,,28,,22,17.85714286,7,,,,,
12/7/16,,,,,,,27.57142857,,20,19.71428571,9.571428571,,,,,
12/14/16,,,,,,,30,,,25.57142857,23.85714286,,,,,
12/21/16,,,,,,,30.71428571,,,25.5,27.71428571,,,,,
12/28/16,,,,,,,31.28571429,,29.33333333,27.4,30.14285714,,,,,
1/4/17,,,,,,,31.42857143,,30.14285714,31.57142857,31.42857143,,,,,
1/11/17,,,,,,,31.14285714,,30,30.57142857,31,,,,,
1/18/17,,,,,,,30.71428571,,28.71428571,28.42857143,30.28571429,,,,,
1/25/17,,,,,,,31.71428571,,28.57142857,30.57142857,30.71428571,,,,,
2/1/17,,,,,,,32,,29.57142857,31,30.28571429,,26,,,
2/8/17,,,,,,,31,,28.71428571,29.42857143,30.42857143,,,,,
2/15/17,,,,,,,31.71428571,,28.85714286,30.16666667,30,,26,,,
2/22/17,,,,,,,31.42857143,,29.42857143,30,29.8,,,,,
3/1/17,,,,,,,32,,30.85714286,30.85714286,32,,26.4,,,
3/8/17,,,,,,,31,,29.71428571,29.14285714,31.14285714,,24.66666667,,,
3/15/17,,,,,,,30.14285714,,29,28.42857143,30.71428571,,23.8,,,
3/22/17,,,,,,,30,,28.85714286,28,30,,24,,,
3/29/17,,,,,,,31.28571429,,29.28571429,30.14285714,30.71428571,,,,,
4/5/17,,,,,,,32.28571429,,31.57142857,31.71428571,32.28571429,,,,,
4/12/17,,,,,,,33.28571429,,32.42857143,32.33333333,31.57142857,,31,,,
4/19/17,,,,,,,33.14285714,,32.5,31.42857143,30.16666667,,30.75,,,
4/26/17,,,,,,,35,,34.57142857,35,34.85714286,,33,,,
5/3/17,,,,,,,36.71428571,,35,35.85714286,35,,33.42857143,,,
5/10/17,,,,,,,39,,38.85714286,41.14285714,35,,38.57142857,,,
5/17/17,,,,,,,39.28571429,,42.57142857,42.85714286,39.28571429,,41.14285714,,,
5/24/17,,,,,,,38.85714286,,42.28571429,41.16666667,44.71428571,,41.42857143,,,
5/31/17,,,,,,,42.71428571,,48,46.57142857,55.71428571,,45.14285714,,,
6/7/17,,,,,,,45,,51.85714286,50.14285714,56.28571429,,49.85714286,,,
6/14/17,,,,,,,45,,50.57142857,48.14285714,51.57142857,,46.71428571,,,
6/21/17,,,,,,,49.14285714,,54.28571429,51.57142857,57,,50.57142857,,,
6/28/17,,,,,,,52.14285714,,57.57142857,54.28571429,56.57142857,,53.71428571,,,
7/5/17,,,,,,,55.57142857,,57.71428571,54.85714286,56.71428571,,54,,,
7/12/17,,,,,,,57.14285714,,57.66666667,56,57.57142857,,54.71428571,,,
7/19/17,,,,,,,56.57142857,,56.28571429,54.57142857,56.14285714,,54.14285714,,,
7/26/17,,,,,,,56.28571429,,55.85714286,54,54.85714286,,52.28571429,,,
8/2/17,,,,,,,56.85714286,,56,54.42857143,56.42857143,,52.14285714,,,
8/9/17,,,,,,,55.71428571,,54.28571429,52.85714286,54.42857143,,51,,,
8/16/17,,,,,,,51.66666667,,49.33333333,48,48.85714286,,46,,,
8/23/17,,,,,,,51.6,,49.6,49,49.4,,48.4,,,
8/30/17,,,,,,,49.42857143,,45.85714286,45.57142857,47,,44.28571429,,,
9/6/17,,,,,,,48.6,,45.66666667,45.8,46,,44.66666667,,,
9/13/17,,,,,,,47.33333333,,44,44.28571429,44.57142857,,42,,,
9/20/17,,,,,,,44.42857143,,42.14285714,40.42857143,40.14285714,,40,,,
9/27/17,,,,,,,41.57142857,,38.85714286,37.28571429,36,,36.42857143,,,
10/4/17,,,,,,,42,,39.8,38.66666667,38.2,,38,,,
10/11/17,,,,,,,39.16666667,,36.71428571,35.85714286,36,,33.42857143,,,
10/18/17,,,,,,,38.42857143,,35.42857143,33.71428571,34,,32.71428571,,,
10/25/17,,,,,,,37.71428571,,35,34.57142857,35,,33,,,
11/1/17,,,,,,,37.66666667,,35,33,35.14285714,,32.42857143,,,
11/8/17,,,,,,,36.4,,35,31.14285714,35,,32.85714286,,,
11/15/17,,,,,,,36,,35,31.28571429,35,,32.28571429,,,
11/22/17,,,,,,,35,,35,29.85714286,35,,31.71428571,,,
11/29/17,,,,,,,35,,35,32.14285714,35,,,,,
12/6/17,,,,,,,35,,35,33.5,35,,32,,,
12/13/17,,,,,,,35,,35,33.42857143,35,,31.71428571,,,
12/20/17,,,,,,,35,,35,32.71428571,35,,30.85714286,,,
12/27/17,,,,,,,35,,34.14285714,29.57142857,34.57142857,,27.14285714,,,
1/3/18,,,,,,,34.85714286,,33.57142857,31,31.57142857,,27,,,
1/10/18,,,,,,,34.28571429,,31.57142857,29,31.14285714,,24,,,
1/17/18,,,,,,,35,,32.57142857,29,34,,28.42857143,,,
1/24/18,,,,,,,34.28571429,,31.85714286,23,34,,22.42857143,,,
1/31/18,,,,,,,35,,30.57142857,30,33.14285714,,18.71428571,,,
2/7/18,,,,,,,35,,29.71428571,31.57142857,31,,20,,,
2/14/18,,,,,,,35,,31.42857143,32.85714286,33.66666667,,26.14285714,,,
2/21/18,,,,,,,35,,33,33.42857143,,,27.85714286,,,
2/28/18,,,,,,,35,,33.85714286,33,34,,25.14285714,,,
3/7/18,,,,,,,35,,34,33.28571429,34,,26.5,,,
3/14/18,,,,,,,35,,33.5,34,34,,28.5,,,
3/21/18,,,,,,,35,,34,34,34,,25.71428571,,,
3/28/18,,,,,,,35,,33.33333333,34,34,,25.66666667,,,
4/4/18,,,,,,,35,,33,34,34,,25.57142857,,,
4/11/18,,,,,,,35,,33.71428571,34.71428571,34,,29.71428571,,,
4/18/18,,,,,,,34.5,,34,34.14285714,34,,30.5,,,
4/25/18,,,,,,,35,,34.57142857,35,34,,33,,,
5/2/18,,,,,,,35,,35,35,34.42857143,,33,,,
5/9/18,,,,,,,35.28571429,,35,35,35,,33.57142857,,,
5/16/18,,,,,,,38.85714286,,38.57142857,37.71428571,35,,40.14285714,,,
5/23/18,,,,,,,40.57142857,,44.14285714,42.71428571,40.57142857,,41.28571429,,,
