# weekly soil temperature (F) at 2 cm depth for snotel sites across Alaska calculated from start of day temperature,,,,,,,,,,,,,,,,
week_start,aniak,eagle_summit,galena,gobblers_knob,gulkana_river,imnaviat_creek,little_chena_ridge,mcgrath,monument_creek,mt_ryan,munson_ridge,nenana,teuchet_creek,tok,upper_chena,upper_nome_creek
4/1/15,30,25.57142857,,24.71428571,,26,30.42857143,,31,30.85714286,31,29.28571429,,23.71428571,,29
4/8/15,31,26,,26.71428571,,26.28571429,31,,31,31,31,31,,26,,30
4/15/15,30.85714286,26.42857143,,28.28571429,,26,31,,31,31.28571429,31,31,,29.28571429,,30
4/22/15,31,27,,31,,27,31.28571429,,31.14285714,32,31.14285714,32.71428571,,31.57142857,,30.85714286
4/29/15,31.14285714,27.42857143,,32.14285714,,27.28571429,32,,31.14285714,32,32,35.14285714,,37,,31
5/6/15,33.57142857,30.42857143,,36.57142857,,28.85714286,33,,31.57142857,32,32,40.42857143,,40.57142857,,31.57142857
5/13/15,35.85714286,32.71428571,,42,,31,37.71428571,,35.57142857,35.14285714,32.14285714,45.71428571,,46,,33.14285714
5/20/15,38.57142857,39.71428571,,46,,33.42857143,42,,38.57142857,43.42857143,34.85714286,49.57142857,,52,,36.42857143
5/27/15,42.42857143,39.57142857,,45.28571429,,36.14285714,41.71428571,,39.14285714,42.71428571,36,49.28571429,,52.42857143,,38.28571429
6/3/15,42.28571429,37,,43.14285714,,34.71428571,40.42857143,,37.71428571,40,35.57142857,47,,49.71428571,,38.57142857
6/10/15,43.85714286,40.71428571,,46.42857143,,38.57142857,44.14285714,,40.14285714,43.14285714,37.71428571,50.28571429,,53.28571429,,41.57142857
6/17/15,50.85714286,46.71428571,,54.85714286,,47.71428571,51.42857143,,44.85714286,47.71428571,42.42857143,56,,58,,46.57142857
6/24/15,48.85714286,46.85714286,,53.42857143,,48.14285714,51,,45.14285714,46.71428571,43.57142857,55.28571429,,58.57142857,,47.42857143
7/1/15,48.57142857,47.42857143,,53.57142857,,48.42857143,52.57142857,,47.57142857,49,45.14285714,56.71428571,,58.71428571,,49.57142857
7/8/15,49.85714286,46.28571429,,51.85714286,,47,51.42857143,,48.42857143,46.42857143,46.28571429,56.28571429,,58.85714286,,49
7/15/15,48.85714286,45.28571429,,51.71428571,,46.71428571,51.28571429,,47.71428571,47.57142857,45.14285714,55.28571429,,58,,48.71428571
7/22/15,48.28571429,46.85714286,,53.42857143,,45.57142857,52.42857143,,48.71428571,49,47.42857143,60.57142857,,58.57142857,,49.57142857
7/29/15,48.71428571,45.14285714,,51.71428571,,44.57142857,51.16666667,,48.33333333,48.5,46.83333333,59.14285714,,57.14285714,,48.42857143
8/5/15,47.66666667,45,,48.66666667,,41.33333333,52.14285714,,48.85714286,49.71428571,48.42857143,57.66666667,,55.66666667,,48.33333333
8/12/15,47.42857143,42.71428571,,47.71428571,,40.57142857,49,,46.14285714,46.57142857,45.42857143,56,,52.57142857,,46.85714286
8/19/15,47.42857143,41.57142857,,47,,38.42857143,47.57142857,,45.85714286,44.85714286,44,54,,49.57142857,,46
8/26/15,45.28571429,37,,41.42857143,,35.85714286,42.57142857,,42.14285714,40.28571429,39.28571429,48.14285714,,45.28571429,,42.57142857
9/2/15,45.33333333,35.83333333,,39.83333333,,32.33333333,42.28571429,,39.85714286,39.85714286,38.57142857,45.83333333,,43.83333333,,39.16666667
9/9/15,44.85714286,35.28571429,,38.14285714,,32,40.71428571,,39.85714286,38.57142857,38.42857143,45.14285714,,45.66666667,,38.28571429
9/16/15,40.42857143,32.57142857,,33.71428571,,31,37.14285714,,37.28571429,35.28571429,34.71428571,42.14285714,,39,,35.28571429
9/23/15,39.14285714,32,,31.57142857,,31,33.42857143,,33.28571429,32,33.14285714,36.33333333,,35.42857143,,32.42857143
9/30/15,40.71428571,32,,31.14285714,,31,34,,33.85714286,32.42857143,33,34.42857143,,32.28571429,,32
10/7/15,39.85714286,31.71428571,,28.85714286,,31,33.42857143,,32.85714286,32.57142857,33,31.85714286,,31,,32
10/14/15,35.57142857,31,,28.14285714,,31,32.85714286,,32,32,32.14285714,30.4,,31,,32
10/21/15,35.42857143,31,,27.85714286,,31,32.57142857,,31.57142857,31.71428571,32,28.75,,30.14285714,,32
10/28/15,33.42857143,31,,28.14285714,,30.42857143,31.42857143,,31,31.14285714,32,29.75,,24.57142857,,32
11/4/15,32,31,,28.71428571,,30.14285714,31,,31,31,32,30.6,,22.57142857,,32
11/11/15,31.57142857,30.28571429,,28.14285714,,29.28571429,31,,31,29.28571429,32,30.5,,19,,31.57142857
11/18/15,31,29.42857143,,27.28571429,,28,31,,30.57142857,27.57142857,31,29,,16.14285714,,31
11/25/15,31,30.71428571,,27.71428571,,28.28571429,31,,31,29.71428571,31,30.5,,20.28571429,,31.14285714
12/2/15,31,30.85714286,,20.57142857,,27.57142857,31,,30.57142857,29,31,29,,19,,31
12/9/15,30.71428571,30,,16.71428571,,26.14285714,31,,29.28571429,27.42857143,31,28,,19,,31
12/16/15,31,30,,19.71428571,,26,31,,30,28,31,28,,16.14285714,,31
12/23/15,31,29.57142857,,14.85714286,,25.14285714,31,,29.14285714,28.28571429,31,27.66666667,,14.28571429,,31
12/30/15,31,29.85714286,,24,,26.57142857,31,,30.57142857,29,31,29.75,,15.42857143,,31
1/6/16,31,29,,19.71428571,,26.14285714,30.85714286,,29,29,31,27.33333333,,14,,31
1/13/16,30.14285714,28.42857143,,16.71428571,,24.42857143,30.28571429,,28.14285714,28.71428571,31,,,16.57142857,,31
1/20/16,28.85714286,26.57142857,,11.85714286,,23.71428571,29.28571429,,26.71428571,26.71428571,31,22,,17.71428571,,31
1/27/16,30.28571429,27.85714286,,21.14285714,,24.85714286,30.57142857,,28.57142857,28.57142857,31,25.4,,18,,31
2/3/16,29,26.85714286,,15,,24,29.57142857,,26.42857143,28.57142857,31,22.66666667,,17.28571429,,30
2/10/16,27.85714286,27.42857143,,17.14285714,,24.14285714,29.71428571,,27.14285714,29,31,22.6,,15.71428571,,30
2/17/16,28.28571429,26.71428571,,15.42857143,,24.28571429,29,,25.57142857,28.42857143,30.57142857,23.25,,15.71428571,,29.14285714
2/24/16,29.85714286,27.57142857,,21.28571429,,25,30.42857143,,29,29.42857143,31,26,,17.28571429,,29.71428571
3/2/16,29.14285714,26.57142857,,15.42857143,,25,28.71428571,,27.14285714,29.42857143,31,23.57142857,,18,,29.85714286
3/9/16,27.42857143,26.57142857,,16,,23.28571429,29.14285714,,26.57142857,28.71428571,30.71428571,22.71428571,,19.14285714,,29
3/16/16,23.57142857,26.42857143,,15.42857143,,22.14285714,28.28571429,,26.57142857,28.28571429,30.14285714,23.8,,18.85714286,,29
3/23/16,29.71428571,26.71428571,,21.85714286,,23.28571429,30.42857143,,29.85714286,29.14285714,30.85714286,27.28571429,,22,,29.42857143
3/30/16,30.71428571,28.71428571,,21.71428571,,22.28571429,31,,31,31,31,30.85714286,,30.28571429,,30.57142857
4/6/16,31,29,,24,,23.71428571,31.85714286,,31,31,31,31,,31.42857143,,31
4/13/16,31,29,,24.85714286,,25,31.71428571,,31.14285714,31.14285714,31.14285714,31,,35,,31
4/20/16,31,29.14285714,,30.57142857,,25.14285714,32.28571429,,31.57142857,31.85714286,32,32.71428571,,39,,31
4/27/16,31.85714286,31.57142857,,32,,26.85714286,33.14285714,,32.57142857,32,32,38.57142857,,38.85714286,,31.14285714
