week_number,air_avg,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,29.17142857,,30.0,29.57142857,29.57142857,30.0,31.0,29.5,29.33333333,29.5,30.0,31.0
2,29.35714286,,31.0,30.71428571,30.28571429,30.85714286,31.0,30.57142857,30.42857143,30.28571429,30.85714286,31.0
3,31.48571429,,30.85714286,30.42857143,30.28571429,31.0,31.0,30.42857143,30.28571429,30.28571429,31.0,31.0
4,40.91428571,,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
5,42.65714286,,31.14285714,31.0,31.0,31.0,31.0,31.28571429,31.0,31.0,31.0,31.0
6,47.4,,33.57142857,31.71428571,31.0,31.0,31.0,33.71428571,31.85714286,31.0,31.0,31.0
7,48.14285714,,35.85714286,34.42857143,31.14285714,31.85714286,31.0,36.0,34.14285714,31.14285714,31.85714286,31.0
8,51.0,,38.57142857,36.85714286,33.0,31.85714286,31.0,38.14285714,36.42857143,33.0,32.0,31.0
9,57.22857143,,42.42857143,40.71428571,36.28571429,31.85714286,31.0,42.0,40.0,36.0,32.0,31.0
10,49.85714286,,42.28571429,41.0,37.57142857,32.0,31.0,41.42857143,40.0,37.14285714,32.0,31.0
11,55.27142857,,43.85714286,42.42857143,38.57142857,32.0,31.0,43.28571429,41.57142857,38.28571429,32.14285714,31.0
12,66.62857143,,50.85714286,49.28571429,43.71428571,34.14285714,31.0,50.0,47.85714286,43.57142857,34.28571429,31.0
13,57.61428571,,48.85714286,47.42857143,44.14285714,36.0,31.0,47.85714286,46.14285714,43.28571429,36.0,31.0
14,58.04285714,,48.57142857,47.14285714,43.71428571,37.0,31.0,48.14285714,46.57142857,43.71428571,37.28571429,31.0
15,59.14285714,,49.85714286,48.42857143,45.14285714,38.71428571,31.0,49.28571429,47.71428571,45.14285714,38.71428571,31.0
16,55.05714286,,48.85714286,47.57142857,45.14285714,40.0,31.0,48.42857143,47.14285714,45.14285714,40.0,31.0
17,53.95714286,,48.28571429,47.14285714,45.0,40.0,31.0,47.85714286,46.57142857,44.71428571,40.0,31.0
18,58.43333333,,48.71428571,47.28571429,44.57142857,40.0,31.0,47.83333333,46.5,44.66666667,40.0,31.0
19,51.9,,47.66666667,46.66666667,44.66666667,40.0,31.66666667,47.0,46.0,44.66666667,40.0,32.0
20,52.74285714,,47.42857143,46.42857143,44.28571429,40.28571429,32.0,47.14285714,46.14285714,44.42857143,40.28571429,32.0
21,51.71428571,,47.42857143,46.42857143,44.42857143,41.0,32.85714286,46.57142857,45.71428571,44.42857143,41.0,32.85714286
22,45.45714286,,45.28571429,44.57142857,44.0,41.42857143,35.14285714,44.5,43.66666667,43.33333333,41.33333333,35.16666667
23,50.73333333,,45.33333333,44.33333333,43.0,40.5,36.5,45.5,44.33333333,43.16666667,40.66666667,36.66666667
