week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
1,18.91428571,15.44285714,25.57142857,26.0,27.0,25.66666667,25.83333333,27.0
2,22.28571429,21.15714286,26.0,26.0,27.0,26.0,26.0,27.0
3,27.95714286,25.57142857,26.42857143,26.28571429,27.0,26.42857143,26.28571429,27.0
4,30.07142857,27.24285714,27.0,27.0,27.28571429,27.0,27.0,27.28571429
5,29.1,26.1,27.42857143,27.0,28.0,27.57142857,27.14285714,28.0
6,41.58571429,36.45714286,30.42857143,30.14285714,29.57142857,30.85714286,30.14285714,29.71428571
7,53.97142857,49.24285714,32.71428571,31.14285714,31.0,34.14285714,31.14285714,31.0
8,55.32857143,51.28571429,39.71428571,35.42857143,31.57142857,41.71428571,35.0,31.71428571
9,42.52857143,39.84285714,39.57142857,37.42857143,32.0,39.57142857,36.42857143,32.0
10,40.0,37.1,37.0,35.85714286,32.14285714,37.71428571,35.28571429,32.28571429
11,47.22857143,42.64285714,40.71428571,39.71428571,33.85714286,42.14285714,39.0,34.0
12,57.54285714,52.62857143,46.71428571,45.28571429,37.85714286,48.28571429,44.42857143,38.0
13,52.54285714,49.27142857,46.85714286,45.28571429,39.57142857,47.57142857,44.42857143,39.57142857
14,54.9,52.0,47.42857143,45.85714286,40.28571429,48.57142857,45.0,40.14285714
15,50.31428571,47.55714286,46.28571429,46.0,41.0,47.71428571,45.14285714,41.14285714
16,47.55714286,45.48571429,45.28571429,44.85714286,41.42857143,46.14285714,44.14285714,41.28571429
17,50.47142857,47.51428571,46.85714286,46.14285714,41.57142857,47.57142857,45.28571429,41.71428571
18,46.93333333,45.05714286,45.14285714,44.57142857,41.57142857,45.33333333,43.83333333,41.66666667
19,45.625,43.96666667,45.0,45.0,42.0,44.0,43.66666667,41.66666667
20,44.7,41.37142857,42.71428571,42.14285714,40.0,43.42857143,41.57142857,40.0
21,40.95714286,39.41428571,41.57142857,41.71428571,39.85714286,42.0,40.85714286,39.85714286
22,32.81428571,32.22857143,37.0,37.42857143,37.71428571,36.42857143,36.85714286,37.14285714
23,40.9,37.26666667,35.83333333,37.33333333,35.83333333,36.66666667,36.33333333,35.83333333
24,34.88571429,34.08571429,35.28571429,35.85714286,35.57142857,35.28571429,35.14285714,35.28571429
25,25.02857143,25.0,32.57142857,32.71428571,33.42857143,32.42857143,32.57142857,33.42857143
26,23.65714286,22.1,32.0,32.0,32.85714286,32.0,32.0,32.71428571
27,18.7,20.15,32.0,32.0,32.0,32.0,32.0,32.0
28,23.9,,31.71428571,32.0,32.0,31.57142857,32.0,32.0
29,25.15714286,26.12857143,31.0,32.0,32.0,17.14285714,18.0,18.14285714
30,23.0,21.05714286,31.0,32.0,32.0,31.0,32.0,32.0
31,11.85714286,12.61428571,31.0,32.0,32.0,31.0,32.0,32.0
32,14.94285714,15.11428571,31.0,31.71428571,32.0,31.0,32.0,32.0
33,-3.528571429,-3.271428571,30.28571429,31.0,32.0,30.28571429,31.14285714,32.0
34,6.914285714,5.0,29.42857143,31.0,32.0,29.57142857,31.0,32.0
35,18.07142857,19.61428571,30.71428571,31.0,32.0,30.71428571,31.0,32.0
36,-5.142857143,-4.928571429,30.85714286,31.0,32.0,30.85714286,31.0,32.0
