week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,17.0,16.71428571,,24.71428571,,25.57142857,27.0,,,24.42857143,,25.28571429,26.85714286,
2,24.48571429,23.61428571,,26.71428571,,26.57142857,27.0,,,26.14285714,,26.28571429,27.28571429,
3,30.78571429,29.24285714,,28.28571429,,27.85714286,27.85714286,,,28.0,,27.85714286,28.14285714,
4,36.12857143,33.35714286,,31.0,,30.85714286,30.71428571,,,31.14285714,,31.0,30.71428571,
5,37.7,35.92857143,,32.14285714,,31.0,31.0,,,32.71428571,,31.0,31.0,
6,45.2,42.45714286,,36.57142857,,33.28571429,31.0,,,36.85714286,,33.14285714,31.0,
7,54.48571429,51.11428571,,42.0,,38.28571429,32.0,,,42.0,,37.71428571,32.0,
8,57.12857143,54.27142857,,46.0,,42.14285714,33.57142857,,,45.85714286,,41.28571429,33.85714286,
9,49.01428571,46.07142857,,45.28571429,,43.14285714,36.0,,,45.0,,42.14285714,36.14285714,
10,44.44285714,40.78571429,,43.14285714,,41.57142857,36.42857143,,,43.57142857,,40.85714286,36.57142857,
11,51.28571429,47.98571429,,46.42857143,,44.0,37.85714286,,,46.57142857,,43.14285714,38.14285714,
12,67.02857143,63.91428571,,54.85714286,,51.14285714,41.85714286,,,55.14285714,,50.14285714,42.14285714,
13,58.61428571,56.78571429,,53.42857143,,51.0,43.57142857,,,53.0,,49.85714286,43.42857143,
14,60.37142857,58.27142857,,53.57142857,,51.14285714,43.57142857,,,53.57142857,,50.14285714,43.57142857,
15,57.17142857,54.01428571,,51.85714286,,49.85714286,44.0,,,52.14285714,,48.85714286,44.0,
16,54.27142857,52.35714286,,51.71428571,,49.71428571,44.57142857,,,51.66666667,,49.16666667,44.83333333,
17,57.9,56.48571429,,53.42857143,,51.42857143,45.57142857,,,53.42857143,,50.42857143,45.42857143,
18,53.33333333,52.55714286,,51.71428571,,50.0,45.57142857,,,51.16666667,,49.16666667,45.66666667,
19,48.36,48.825,,48.66666667,,48.33333333,45.66666667,,,47.66666667,,47.33333333,45.33333333,
20,48.52857143,46.75714286,,47.71428571,,47.14285714,44.0,,,47.85714286,,46.14285714,44.0,
21,44.52857143,43.82857143,,47.0,,46.71428571,44.28571429,,,46.42857143,,45.85714286,44.14285714,
22,36.75714286,36.2,,41.42857143,,42.42857143,42.57142857,,,40.57142857,,41.71428571,42.14285714,
23,45.75,43.18333333,,39.83333333,,40.5,40.0,,,39.66666667,,39.83333333,40.0,
24,36.17142857,36.71428571,,38.14285714,,39.0,39.42857143,,,37.57142857,,38.28571429,39.28571429,
25,30.01428571,29.75714286,,33.71428571,,35.14285714,36.57142857,,,33.28571429,,34.71428571,36.28571429,
26,25.62857143,25.18571429,,31.57142857,,32.57142857,34.57142857,,,31.85714286,,32.42857143,34.42857143,
27,29.51428571,28.57142857,,31.14285714,,32.0,33.42857143,,,31.0,,32.0,33.28571429,
28,25.62857143,24.75714286,,28.85714286,,31.57142857,33.0,,,28.16666667,,31.16666667,32.83333333,
