week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
1,14.34285714,11.67142857,26.0,26.71428571,27.0,26.0,26.71428571,27.0
2,11.67142857,11.52857143,26.28571429,27.0,27.0,26.14285714,27.0,27.0
3,24.15714286,23.55714286,26.0,26.28571429,27.0,26.14285714,26.42857143,27.0
4,26.68571429,24.72857143,27.0,27.0,27.0,27.0,27.0,27.0
5,23.24285714,20.07142857,27.28571429,27.42857143,27.14285714,27.14285714,27.28571429,27.28571429
6,36.85714286,32.85714286,28.85714286,28.71428571,28.28571429,28.85714286,28.71428571,28.28571429
7,45.44285714,41.55714286,31.0,30.57142857,29.42857143,31.0,30.57142857,29.57142857
8,49.55714286,45.85714286,33.42857143,31.57142857,30.42857143,35.42857143,31.85714286,30.57142857
9,34.47142857,34.14285714,36.14285714,35.0,31.57142857,36.14285714,34.14285714,31.57142857
10,36.85714286,32.78571429,34.71428571,34.14285714,31.85714286,36.14285714,34.28571429,32.0
11,44.85714286,40.48571429,38.57142857,38.0,34.71428571,41.14285714,37.85714286,34.57142857
12,59.34285714,54.52857143,47.71428571,46.71428571,40.71428571,51.28571429,46.14285714,41.0
13,54.97142857,50.54285714,48.14285714,47.85714286,43.14285714,50.28571429,47.0,43.0
14,56.45714286,50.21428571,48.42857143,47.71428571,43.71428571,51.28571429,47.71428571,43.85714286
15,47.81428571,42.07142857,47.0,48.42857143,44.71428571,50.0,47.57142857,44.57142857
16,50.92857143,46.74285714,46.71428571,47.28571429,44.42857143,48.57142857,46.57142857,44.0
17,45.17142857,41.62857143,45.57142857,47.14285714,43.71428571,47.66666667,46.0,43.66666667
18,47.6,44.97142857,44.57142857,44.85714286,42.42857143,46.5,44.33333333,42.16666667
19,38.625,36.7,41.33333333,42.33333333,41.33333333,40.66666667,41.33333333,41.0
20,40.88571429,38.75714286,40.57142857,41.0,39.71428571,42.14285714,41.14285714,39.71428571
21,40.1,37.11428571,38.42857143,39.71428571,38.85714286,39.71428571,39.28571429,38.85714286
22,30.37142857,30.34285714,35.85714286,36.85714286,37.14285714,35.42857143,36.57142857,36.71428571
23,38.51666667,37.33333333,32.33333333,33.16666667,33.66666667,32.66666667,33.16666667,33.33333333
24,26.28571429,26.14285714,32.0,32.42857143,32.71428571,32.0,32.28571429,32.57142857
25,16.91428571,16.74285714,31.0,32.0,32.0,31.28571429,32.0,32.0
26,19.18571429,19.08571429,31.0,31.14285714,31.28571429,31.0,31.14285714,31.42857143
27,27.12857143,25.77142857,31.0,31.0,31.0,31.0,31.0,31.0
28,22.31428571,21.34285714,31.0,31.0,31.0,31.0,31.0,31.0
29,16.95714286,17.62857143,31.0,31.0,31.0,31.0,31.0,31.0
30,17.92857143,18.37142857,31.0,31.0,31.0,31.0,31.0,31.0
31,10.07142857,9.014285714,30.42857143,31.0,31.0,30.14285714,31.0,31.0
32,16.77142857,16.88571429,30.14285714,31.0,31.0,30.0,31.0,31.0
33,-8.128571429,-6.785714286,29.28571429,30.57142857,31.0,29.28571429,30.57142857,31.0
34,1.857142857,1.357142857,28.0,29.0,30.42857143,28.0,29.0,30.42857143
35,9.328571429,12.91428571,28.28571429,29.0,30.0,28.0,29.0,30.0
36,-14.45714286,-15.2,27.57142857,28.42857143,29.42857143,27.28571429,28.42857143,29.42857143
37,-2.957142857,-5.2,26.14285714,27.14285714,28.71428571,26.0,27.14285714,28.57142857
38,-6.028571429,-3.671428571,26.0,27.0,28.0,26.0,27.0,28.0
39,-0.5,-4.185714286,25.14285714,26.14285714,27.57142857,25.0,26.14285714,27.42857143
40,24.95714286,24.87142857,26.57142857,26.71428571,27.57142857,26.57142857,26.85714286,27.71428571
41,9.785714286,11.18571429,26.14285714,26.71428571,27.71428571,26.0,26.57142857,27.71428571
42,-6.414285714,-5.942857143,24.42857143,25.71428571,27.0,24.57142857,25.42857143,27.0
43,1.028571429,-3.542857143,23.71428571,24.57142857,26.14285714,23.57142857,24.57142857,26.0
44,19.17142857,20.27142857,24.85714286,25.71428571,26.14285714,25.0,25.85714286,26.0
45,7.014285714,5.5,24.0,24.71428571,26.14285714,23.85714286,24.71428571,25.85714286
46,13.18571429,11.94285714,24.14285714,24.42857143,25.85714286,24.14285714,24.42857143,25.57142857
47,14.4,13.34285714,24.28571429,25.0,26.0,24.28571429,25.0,26.0
48,23.31428571,21.48571429,25.0,25.0,26.0,25.0,25.0,26.0
49,7.471428571,8.285714286,25.0,25.85714286,26.0,24.85714286,25.71428571,26.0
50,-9.171428571,-8.657142857,23.28571429,24.14285714,25.28571429,23.14285714,24.0,25.14285714
51,-3.485714286,-8.357142857,22.14285714,23.0,24.0,22.14285714,23.0,24.0
52,8.285714286,8.3,23.28571429,23.71428571,24.0,23.0,23.71428571,24.0
