week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
1,28.71428571,25.52857143,32.42857143,30.42857143,31.0,31.0,32.16666667,30.5,31.0,31.0
2,31.82857143,30.4,33.0,31.0,31.0,31.0,33.0,31.0,31.0,31.0
3,37.31428571,34.97142857,33.57142857,31.0,31.0,31.0,33.66666667,31.0,31.0,31.0
4,39.45714286,36.51428571,34.0,31.28571429,31.0,31.0,34.0,31.42857143,31.0,31.0
5,38.55714286,34.01428571,34.0,32.0,31.0,31.0,34.14285714,32.0,31.0,31.0
6,48.64285714,44.94285714,34.57142857,33.0,31.0,31.14285714,36.0,36.71428571,31.0,31.0
7,58.94285714,55.27142857,37.0,37.71428571,33.0,31.85714286,39.14285714,43.0,32.85714286,31.71428571
8,60.52857143,57.2,40.42857143,42.0,37.42857143,31.85714286,42.14285714,45.85714286,36.85714286,32.0
9,51.38571429,48.07142857,40.71428571,41.71428571,40.28571429,34.14285714,42.14285714,45.57142857,39.57142857,34.57142857
10,48.42857143,45.05714286,39.28571429,40.42857143,40.42857143,36.71428571,41.57142857,44.42857143,40.0,36.85714286
11,53.45714286,49.74285714,42.57142857,44.14285714,43.28571429,39.28571429,44.57142857,48.28571429,43.14285714,39.28571429
12,63.7,58.92857143,49.0,51.42857143,49.28571429,43.71428571,51.83333333,55.5,48.66666667,43.83333333
13,57.81428571,55.72857143,51.0,51.0,50.71428571,46.42857143,53.0,54.5,50.33333333,46.5
14,59.3,57.6,53.0,52.57142857,51.71428571,47.42857143,54.28571429,55.28571429,51.28571429,47.57142857
15,55.78571429,53.54285714,52.14285714,51.42857143,51.71428571,48.71428571,53.85714286,54.14285714,51.42857143,48.71428571
16,53.07142857,51.25714286,51.71428571,51.28571429,51.71428571,49.0,52.85714286,53.85714286,51.14285714,49.0
17,56.68571429,53.77142857,52.71428571,52.42857143,52.57142857,49.57142857,54.28571429,55.42857143,52.14285714,49.42857143
18,54.73333333,51.93333333,52.33333333,51.16666667,52.16666667,50.0,53.2,54.0,51.6,50.0
19,53.55714286,53.71428571,52.85714286,52.14285714,53.42857143,50.85714286,53.57142857,54.57142857,52.71428571,50.71428571
20,50.77142857,48.32857143,50.28571429,49.0,50.71428571,49.14285714,51.42857143,52.0,50.42857143,49.14285714
21,46.45714286,45.48571429,49.14285714,47.57142857,50.14285714,48.85714286,49.57142857,49.42857143,49.42857143,48.71428571
22,38.67142857,38.32857143,44.71428571,42.57142857,46.0,46.71428571,45.16666667,44.33333333,45.66666667,46.33333333
23,49.1,44.84285714,44.0,42.28571429,44.85714286,44.71428571,45.71428571,45.0,44.57142857,44.85714286
24,42.12857143,42.27142857,42.28571429,40.71428571,44.14285714,44.42857143,43.57142857,42.57142857,43.71428571,44.28571429
25,34.42857143,33.7,39.57142857,37.14285714,40.71428571,42.14285714,39.85714286,37.57142857,40.14285714,42.0
26,31.38571429,30.25714286,36.14285714,33.42857143,36.71428571,39.14285714,36.14285714,33.28571429,36.42857143,39.0
27,33.1,32.22857143,37.85714286,34.0,36.0,37.85714286,37.71428571,34.0,36.0,37.71428571
28,30.62857143,30.2,36.0,33.42857143,35.57142857,37.0,35.71428571,33.42857143,35.42857143,37.0
29,33.95714286,32.9,35.28571429,32.85714286,34.57142857,36.0,35.42857143,32.57142857,34.28571429,36.0
30,32.52857143,31.48571429,35.14285714,32.57142857,34.28571429,35.71428571,35.0,32.42857143,34.0,35.57142857
31,20.51428571,21.14285714,34.57142857,31.42857143,33.28571429,34.85714286,34.5,31.5,33.33333333,34.66666667
32,23.58571429,23.95714286,34.0,31.0,33.0,34.0,34.0,31.0,33.0,34.0
33,1.5,3.314285714,34.0,31.0,32.42857143,34.0,34.0,31.0,32.42857143,34.0
34,13.7,11.52857143,34.0,31.0,32.0,33.28571429,34.0,31.0,32.0,33.28571429
35,28.27142857,30.27142857,34.0,31.0,32.0,33.0,34.0,31.0,32.0,33.0
36,4.371428571,4.328571429,34.0,31.0,32.0,33.0,34.0,31.0,32.0,33.0
37,12.08571429,9.914285714,34.0,31.0,32.0,33.0,34.0,31.0,32.0,33.0
38,14.28571429,14.92857143,33.85714286,31.0,32.0,33.0,34.0,31.0,32.0,33.0
39,13.52857143,10.14285714,33.14285714,31.0,32.0,33.0,33.28571429,31.0,32.0,33.0
40,34.74285714,34.27142857,34.0,31.0,32.0,33.0,34.0,31.0,32.0,33.0
41,19.54285714,22.21428571,33.42857143,30.85714286,32.0,32.42857143,33.42857143,31.0,32.0,32.28571429
42,8.6,9.585714286,33.0,30.28571429,32.0,32.14285714,33.0,30.14285714,32.0,32.0
43,14.07142857,11.72857143,32.85714286,29.28571429,31.71428571,32.0,32.71428571,29.28571429,31.71428571,32.0
44,24.0,26.6,33.42857143,30.57142857,31.14285714,32.0,33.57142857,30.42857143,31.0,32.0
45,20.1,19.32857143,33.0,29.57142857,31.0,32.0,33.0,29.71428571,31.0,32.0
46,23.81428571,23.85714286,33.0,29.71428571,31.0,32.0,33.0,29.66666667,31.0,32.0
47,20.3,18.9,32.71428571,29.0,31.0,32.0,32.57142857,29.0,31.0,32.0
48,32.47142857,31.65714286,33.14285714,30.42857143,31.0,32.0,33.28571429,30.14285714,31.0,32.0
49,16.41428571,15.44285714,32.0,28.71428571,31.0,32.0,32.14285714,28.42857143,31.0,32.0
50,20.8,19.01428571,32.57142857,29.14285714,31.0,32.0,32.57142857,29.28571429,31.0,32.0
