week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,-5.857142857,-4.571428571,31.42857143,31.0,,32.0,32.0,,31.5,31.0,,32.0,32.0,
2,-1.0,-1.285714286,32.0,31.0,,32.0,32.0,,32.0,31.0,,32.0,32.0,
3,-6.0,-8.428571429,32.28571429,31.0,,32.0,32.0,,32.5,31.0,,32.0,32.0,
4,12.0,9.571428571,33.57142857,31.14285714,,32.0,32.0,,33.71428571,31.0,,32.0,32.0,
5,6.285714286,2.0,34.0,31.14285714,,32.0,32.0,,34.0,31.28571429,,32.0,32.0,
6,18.0,17.14285714,34.85714286,31.57142857,,32.0,32.0,,37.14285714,33.14285714,,32.0,32.0,
7,19.0,19.57142857,40.28571429,35.57142857,,32.0,32.0,,44.57142857,38.42857143,,32.0,32.0,
8,31.14285714,26.71428571,43.71428571,38.57142857,,32.0,32.0,,48.57142857,40.71428571,,32.0,32.0,
9,33.85714286,29.85714286,44.85714286,39.14285714,,32.57142857,32.0,,47.85714286,40.57142857,,32.0,32.0,
10,36.42857143,34.14285714,42.85714286,37.71428571,,33.0,32.0,,45.85714286,39.42857143,,32.85714286,32.0,
11,39.66666667,40.16666667,45.28571429,40.14285714,,35.28571429,32.42857143,,49.28571429,42.42857143,,34.85714286,32.42857143,
12,39.5,41.66666667,51.28571429,44.85714286,,37.85714286,33.85714286,,55.66666667,46.5,,37.66666667,34.16666667,
13,34.28571429,41.42857143,51.14285714,45.14285714,,40.0,35.57142857,,54.14285714,47.0,,39.57142857,35.85714286,
14,42.66666667,41.57142857,51.85714286,47.57142857,,42.0,38.0,,54.14285714,48.85714286,,41.71428571,38.42857143,
15,45.28571429,44.28571429,52.42857143,48.42857143,,44.0,40.14285714,,53.85714286,49.28571429,,43.57142857,40.28571429,
16,50.85714286,46.71428571,50.57142857,47.71428571,,44.42857143,41.42857143,,52.28571429,49.28571429,,44.42857143,41.42857143,
17,60.71428571,54.57142857,51.0,48.71428571,,45.57142857,42.14285714,,52.85714286,50.14285714,,45.28571429,42.14285714,
18,48.42857143,45.71428571,49.66666667,48.33333333,,46.5,43.0,,51.6,49.8,,46.0,43.0,
19,61.85714286,51.71428571,50.85714286,48.85714286,,47.14285714,43.85714286,,52.0,49.85714286,,46.71428571,43.85714286,
20,53.28571429,45.57142857,47.71428571,46.14285714,,46.0,44.0,,49.71428571,47.42857143,,45.42857143,44.0,
21,54.57142857,47.57142857,46.85714286,45.85714286,,46.28571429,44.14285714,,48.0,46.71428571,,46.0,44.14285714,
22,55.14285714,50.42857143,43.14285714,42.14285714,,44.14285714,43.71428571,,42.5,41.5,,43.5,43.66666667,
23,63.0,52.28571429,40.14285714,39.85714286,,42.28571429,42.14285714,,41.71428571,41.14285714,,42.0,42.14285714,
24,60.14285714,49.0,40.42857143,39.85714286,,42.0,41.57142857,,40.66666667,40.16666667,,41.5,41.33333333,
25,59.0,55.57142857,37.85714286,37.28571429,,40.14285714,40.0,,38.42857143,37.42857143,,39.85714286,40.0,
26,55.57142857,44.71428571,34.28571429,33.28571429,,37.14285714,38.14285714,,34.14285714,33.0,,37.0,38.0,
27,49.71428571,42.71428571,34.42857143,33.85714286,,36.0,36.57142857,,34.28571429,34.0,,36.0,36.57142857,
28,47.42857143,43.14285714,34.0,32.85714286,,35.14285714,35.71428571,,34.0,32.71428571,,35.0,35.71428571,
29,44.28571429,32.14285714,33.85714286,32.0,,34.28571429,35.0,,33.71428571,32.0,,34.14285714,34.85714286,
30,38.16666667,31.16666667,33.57142857,31.57142857,,33.71428571,34.28571429,,33.57142857,31.57142857,,33.71428571,34.0,
31,35.71428571,29.0,33.28571429,31.0,,33.0,33.71428571,,33.28571429,31.0,,33.0,33.57142857,
32,39.14285714,31.28571429,33.57142857,31.0,,33.0,33.0,,33.66666667,31.0,,33.0,33.0,
33,36.71428571,31.0,32.85714286,31.0,,32.42857143,33.0,,32.85714286,31.0,,32.28571429,33.0,
34,32.0,32.0,31.71428571,30.57142857,,32.0,32.57142857,,31.71428571,30.57142857,,32.0,32.57142857,
35,,,32.85714286,31.0,,32.0,32.0,,32.85714286,31.0,,32.0,32.0,
36,,,32.0,30.57142857,,32.0,32.0,,31.71428571,30.57142857,,32.0,32.0,
37,,,30.28571429,29.28571429,,32.0,32.0,,30.28571429,29.57142857,,32.0,32.0,
38,,,29.85714286,30.0,,32.0,32.0,,30.0,30.0,,32.0,32.0,
39,,,29.0,29.14285714,,32.0,32.0,,29.33333333,29.33333333,,32.0,32.0,
40,,,30.57142857,30.57142857,,32.0,32.0,,30.71428571,30.57142857,,32.0,32.0,
41,,,29.85714286,29.0,,32.0,32.0,,29.57142857,29.14285714,,32.0,32.0,
42,,,28.42857143,28.14285714,,31.57142857,32.0,,28.42857143,27.85714286,,31.57142857,32.0,
43,,,27.14285714,26.71428571,,31.0,32.0,,27.0,26.57142857,,31.0,32.0,
44,,,29.14285714,28.57142857,,31.0,32.0,,29.28571429,28.42857143,,31.0,32.0,
45,,,27.71428571,26.42857143,,31.0,32.0,,27.42857143,26.28571429,,31.0,32.0,
46,,,28.42857143,27.14285714,,31.0,32.0,,28.28571429,27.28571429,,31.0,32.0,
47,,,27.71428571,25.57142857,,30.14285714,32.0,,27.28571429,25.28571429,,30.14285714,32.0,
48,,,29.71428571,29.0,,31.0,32.0,,29.85714286,28.71428571,,31.0,32.0,
49,-2.4,-3.833333333,29.14285714,27.14285714,,30.42857143,32.0,,29.0,26.57142857,,30.28571429,32.0,
50,4.142857143,5.0,28.42857143,26.57142857,,30.0,32.0,,28.42857143,26.14285714,,30.0,32.0,
51,-5.428571429,-7.428571429,28.0,26.57142857,,29.71428571,32.0,,28.0,26.85714286,,30.0,32.0,
52,-7.571428571,-6.833333333,29.71428571,29.85714286,,30.71428571,31.85714286,,30.14285714,29.85714286,,30.71428571,32.0,
53,13.57142857,14.71428571,32.71428571,31.0,,31.28571429,31.57142857,,32.85714286,31.0,,31.42857143,32.0,
54,12.71428571,13.28571429,33.85714286,31.0,,32.0,31.85714286,,34.0,31.0,,32.0,32.0,
55,14.0,13.42857143,34.0,31.14285714,,32.0,31.85714286,,34.0,31.14285714,,32.0,32.0,
56,14.71428571,10.85714286,34.0,31.57142857,,32.0,32.0,,33.42857143,32.71428571,,32.42857143,32.42857143,
57,23.0,22.14285714,35.57142857,32.57142857,,32.0,32.0,,36.85714286,33.57142857,,32.0,32.0,
58,17.28571429,14.71428571,38.0,34.14285714,,32.0,31.85714286,,40.66666667,36.16666667,,32.0,32.0,
59,23.0,22.42857143,43.42857143,37.57142857,,32.0,32.0,,45.57142857,38.71428571,,32.0,32.0,
60,24.71428571,23.85714286,42.42857143,37.0,,32.0,32.0,,44.42857143,38.57142857,,32.0,32.0,
61,27.5,25.16666667,43.0,37.42857143,,32.57142857,32.0,,45.57142857,39.42857143,,32.14285714,32.0,
62,27.57142857,21.71428571,46.57142857,39.57142857,,33.28571429,32.0,,48.71428571,41.0,,33.0,32.0,
63,34.66666667,32.42857143,47.85714286,39.71428571,,33.71428571,32.0,,49.16666667,41.33333333,,33.5,32.0,
64,42.57142857,40.0,50.42857143,41.85714286,,34.71428571,32.0,,52.42857143,44.14285714,,34.71428571,32.0,
65,44.28571429,39.14285714,51.57142857,42.85714286,,35.57142857,32.0,,53.57142857,44.28571429,,35.42857143,32.0,
66,48.85714286,45.85714286,54.57142857,46.85714286,,38.42857143,34.0,,56.0,48.57142857,,38.42857143,34.28571429,
67,52.42857143,48.85714286,55.57142857,49.57142857,,42.57142857,38.0,,56.85714286,50.85714286,,42.42857143,38.14285714,
68,50.0,44.85714286,56.14285714,51.57142857,,46.28571429,42.0,,56.85714286,51.42857143,,45.85714286,42.42857143,
69,58.28571429,51.57142857,51.85714286,47.85714286,,46.42857143,45.0,,52.71428571,48.85714286,,46.42857143,45.0,
70,60.0,50.85714286,52.85714286,50.57142857,,48.14285714,46.0,,53.85714286,51.85714286,,48.14285714,46.0,
71,65.85714286,55.14285714,53.85714286,52.28571429,,50.0,47.0,,54.85714286,53.42857143,,49.85714286,47.0,
72,60.85714286,50.57142857,51.0,50.0,,49.14285714,46.85714286,,52.5,51.0,,48.66666667,46.66666667,
73,56.71428571,46.71428571,50.14285714,49.42857143,,48.28571429,46.0,,51.14285714,50.28571429,,48.0,46.0,
74,59.28571429,49.28571429,50.0,49.14285714,,48.28571429,46.0,,51.0,49.42857143,,47.85714286,46.0,
75,57.42857143,51.0,44.14285714,42.57142857,,45.28571429,44.71428571,,45.71428571,43.71428571,,44.85714286,44.42857143,
76,56.85714286,50.57142857,41.71428571,40.28571429,,43.0,42.57142857,,42.14285714,40.28571429,,42.42857143,42.57142857,
77,52.14285714,43.42857143,41.28571429,39.71428571,,42.14285714,41.57142857,,42.0,40.57142857,,41.85714286,41.57142857,
78,56.71428571,48.85714286,39.71428571,38.0,,40.57142857,40.57142857,,39.57142857,38.0,,40.28571429,40.71428571,
79,42.0,38.42857143,35.71428571,33.28571429,,37.42857143,38.42857143,,35.5,32.5,,37.16666667,38.16666667,
80,50.42857143,42.28571429,33.71428571,28.0,,34.42857143,36.14285714,,33.71428571,28.42857143,,34.14285714,36.14285714,
81,49.71428571,38.71428571,30.14285714,25.71428571,,32.71428571,34.57142857,,29.16666667,25.83333333,,32.5,34.33333333,
82,44.14285714,34.42857143,25.28571429,26.28571429,,32.0,33.28571429,,25.42857143,26.42857143,,32.0,33.28571429,
83,38.42857143,34.85714286,26.14285714,27.71428571,,31.85714286,33.0,,26.66666667,27.66666667,,31.83333333,33.0,
84,22.0,14.42857143,25.14285714,27.0,,31.0,32.14285714,,25.42857143,27.14285714,,31.0,32.0,
85,21.28571429,15.57142857,26.42857143,27.71428571,,31.0,32.0,,26.14285714,27.85714286,,31.0,32.0,
86,9.714285714,3.0,23.85714286,25.85714286,,30.71428571,32.0,,26.0,27.0,,31.0,32.0,
87,14.28571429,9.142857143,18.66666667,23.0,,30.0,32.0,,,,,,,
88,17.57142857,10.42857143,22.66666667,24.66666667,,29.33333333,32.0,,22.0,24.0,,29.0,32.0,
89,16.16666667,13.0,20.66666667,24.5,,28.83333333,32.0,,20.0,23.33333333,,28.33333333,32.0,
90,0.142857143,-6.142857143,23.0,26.33333333,,29.33333333,32.0,,,,,,,
91,17.6,14.0,26.0,27.0,,30.0,32.0,,,,,,,
92,,,28.5,29.0,,30.0,31.0,,29.33333333,29.33333333,,30.33333333,31.0,
93,,,30.28571429,29.42857143,,31.0,31.42857143,,30.14285714,29.42857143,,31.0,31.14285714,
94,,,30.0,28.71428571,,30.71428571,31.14285714,,30.0,28.71428571,,30.71428571,31.0,
95,,,29.0,25.85714286,,29.14285714,31.0,,28.71428571,25.71428571,,29.14285714,31.0,
96,,,28.57142857,28.42857143,,29.85714286,31.0,,28.57142857,28.42857143,,30.0,31.0,
97,-22.0,-6.0,29.57142857,28.71428571,,30.0,31.0,,29.57142857,28.57142857,,30.0,31.0,
98,-6.142857143,-8.142857143,28.85714286,28.42857143,,30.0,31.0,,28.71428571,28.57142857,,30.0,31.0,
99,-8.285714286,-9.285714286,28.85714286,29.0,,30.0,31.0,,28.85714286,29.0,,30.0,31.0,
100,4.285714286,3.0,29.28571429,29.14285714,,30.14285714,31.0,,29.42857143,29.14285714,,30.14285714,31.0,
101,-5.857142857,-4.571428571,30.85714286,30.0,,31.0,31.0,,30.85714286,30.0,,31.0,31.0,
102,-10.66666667,-4.5,29.71428571,29.42857143,,31.0,31.0,,29.71428571,29.42857143,,31.0,31.0,
103,,,29.0,29.0,,30.28571429,31.0,,29.0,29.0,,30.14285714,31.0,
104,,,28.85714286,29.0,,30.0,31.0,,28.85714286,29.0,,30.0,31.0,
105,-4.333333333,-1.571428571,29.0,29.14285714,,30.14285714,31.0,,29.28571429,29.28571429,,30.28571429,31.0,
106,9.857142857,8.571428571,31.57142857,30.0,,31.0,31.0,,31.57142857,30.0,,31.0,31.0,
107,14.14285714,15.85714286,32.42857143,31.0,,31.0,31.0,,32.42857143,30.85714286,,31.0,31.0,
108,14.42857143,11.71428571,32.42857143,30.28571429,,31.0,31.0,,32.5,30.33333333,,31.0,31.0,
109,0.142857143,-3.857142857,34.57142857,31.28571429,,31.57142857,31.28571429,,34.57142857,31.57142857,,31.71428571,31.42857143,
110,6.428571429,3.285714286,35.0,31.14285714,,32.0,31.0,,35.0,31.85714286,,32.0,31.0,
111,29.14285714,27.85714286,36.42857143,31.85714286,,32.0,31.0,,38.85714286,33.71428571,,32.0,31.0,
112,22.0,21.85714286,41.0,35.28571429,,32.0,31.14285714,,42.57142857,36.14285714,,32.0,31.0,
113,36.42857143,31.14285714,40.85714286,35.71428571,,32.0,31.14285714,,42.28571429,36.57142857,,32.0,31.14285714,
