week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,-0.571428571,1.285714286,33.0,30.85714286,,31.0,32.0,,33.0,30.83333333,,31.0,32.0,
2,1.714285714,0.285714286,33.57142857,31.0,,31.0,32.0,,33.83333333,31.0,,31.0,32.0,
3,-1.857142857,-2.0,34.28571429,31.28571429,,31.0,32.0,,34.28571429,31.28571429,,31.0,32.0,
4,14.57142857,14.57142857,35.0,32.0,,31.0,32.0,,35.0,32.0,,31.0,32.0,
5,8.285714286,7.285714286,35.0,32.0,,31.0,32.0,,35.0,32.0,,31.0,32.0,
6,18.42857143,17.71428571,35.0,32.0,,31.0,32.0,,35.28571429,32.0,,31.0,32.0,
7,18.28571429,20.0,39.57142857,35.14285714,,31.0,32.0,,44.42857143,38.42857143,,31.0,32.0,
8,30.0,28.71428571,45.71428571,43.42857143,,31.71428571,32.0,,49.14285714,46.14285714,,31.71428571,32.0,
9,34.14285714,31.85714286,43.42857143,42.71428571,,33.0,32.0,,45.0,44.0,,32.42857143,32.0,
10,33.83333333,32.42857143,40.42857143,40.0,,32.71428571,32.0,,44.0,42.0,,32.71428571,32.0,
11,,36.42857143,44.28571429,43.14285714,,33.71428571,32.0,,48.0,46.0,,33.42857143,32.0,
12,,41.0,50.85714286,47.71428571,,35.14285714,32.0,,54.5,50.5,,34.5,32.0,
13,,44.28571429,49.42857143,46.71428571,,35.0,32.0,,52.42857143,48.85714286,,34.85714286,32.0,
14,45.0,42.0,51.57142857,49.0,,36.85714286,32.71428571,,53.57142857,50.57142857,,36.42857143,32.85714286,
15,42.28571429,41.85714286,48.42857143,46.42857143,,38.28571429,34.71428571,,51.57142857,48.42857143,,38.0,35.0,
16,47.85714286,44.85714286,49.28571429,47.57142857,,40.14285714,36.57142857,,51.14285714,49.14285714,,39.85714286,36.85714286,
17,59.28571429,56.14285714,50.57142857,49.0,,41.71428571,38.14285714,,52.85714286,50.71428571,,41.28571429,38.28571429,
18,45.0,43.57142857,49.66666667,48.5,,42.66666667,39.83333333,,52.4,50.0,,42.2,40.0,
19,62.71428571,60.42857143,50.42857143,49.71428571,,43.85714286,40.71428571,,51.57142857,50.28571429,,43.57142857,40.85714286,
20,52.57142857,49.57142857,47.42857143,46.57142857,,42.71428571,41.0,,49.83333333,48.16666667,,42.5,41.0,
21,51.71428571,47.0,46.14285714,44.85714286,,43.0,41.0,,47.14285714,45.42857143,,42.42857143,41.0,
22,52.71428571,52.71428571,41.57142857,40.28571429,,41.28571429,41.14285714,,41.85714286,40.57142857,,41.42857143,41.14285714,
23,63.71428571,57.28571429,41.57142857,39.85714286,,40.0,40.0,,43.57142857,41.0,,40.0,40.0,
24,59.85714286,54.0,39.57142857,38.57142857,,39.57142857,39.85714286,,41.14285714,38.71428571,,39.28571429,39.71428571,
25,57.0,52.71428571,36.71428571,35.28571429,,37.71428571,38.57142857,,36.71428571,35.0,,37.57142857,38.57142857,
26,54.14285714,48.85714286,33.28571429,32.0,,35.57142857,37.42857143,,33.71428571,31.85714286,,35.42857143,37.28571429,
27,48.14285714,42.57142857,35.0,32.42857143,,35.0,36.0,,35.0,32.42857143,,35.0,36.0,
28,45.14285714,41.57142857,34.28571429,32.57142857,,34.14285714,35.71428571,,34.28571429,32.57142857,,34.0,35.57142857,
29,43.85714286,39.85714286,33.71428571,32.0,,34.0,35.0,,33.71428571,32.0,,34.0,35.0,
