week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,26.61428571,22.88571429,31.71428571,31.0,,31.0,32.0,,31.5,31.0,,31.0,32.0,
2,28.38571429,25.5,31.71428571,31.0,,31.0,32.0,,31.83333333,31.0,,31.0,32.0,
3,33.32857143,29.38571429,32.42857143,31.0,,31.0,32.0,,32.28571429,31.0,,31.0,32.0,
4,35.92857143,30.65714286,31.42857143,31.14285714,,31.0,32.0,,31.57142857,31.28571429,,31.0,32.0,
5,36.28571429,30.45714286,33.14285714,32.0,,31.0,32.0,,33.57142857,32.0,,31.0,32.0,
6,44.6,38.9,34.71428571,32.0,,31.85714286,32.0,,34.71428571,32.0,,31.85714286,32.0,
7,55.18571429,48.77142857,37.71428571,32.14285714,,31.57142857,32.0,,47.57142857,32.57142857,,32.0,32.0,
8,56.98571429,51.25714286,42.85714286,34.85714286,,31.85714286,32.0,,56.42857143,35.14285714,,32.0,32.0,
9,48.34285714,43.65714286,39.85714286,36.0,,31.85714286,32.0,,50.0,35.57142857,,32.0,32.0,
10,45.28571429,39.61428571,36.71428571,35.57142857,,32.0,32.0,,45.57142857,35.57142857,,32.0,32.0,
11,50.41428571,44.68571429,38.85714286,37.71428571,,33.28571429,32.0,,51.71428571,37.57142857,,32.85714286,32.0,
12,60.01428571,53.75714286,48.14285714,42.42857143,,35.57142857,32.14285714,,59.0,42.0,,35.83333333,32.16666667,
13,54.71428571,50.41428571,47.0,43.57142857,,38.57142857,34.85714286,,55.0,43.42857143,,38.57142857,35.0,
14,55.97142857,51.78571429,48.57142857,45.14285714,,40.57142857,37.14285714,,55.71428571,45.14285714,,40.71428571,37.42857143,
15,52.64285714,49.17142857,49.57142857,46.28571429,,43.0,39.85714286,,54.71428571,46.14285714,,42.71428571,39.85714286,
16,49.92857143,46.54285714,46.85714286,45.14285714,,43.0,40.57142857,,51.42857143,45.0,,43.0,40.57142857,
17,53.64285714,49.6,47.85714286,47.42857143,,44.28571429,41.57142857,,54.42857143,47.42857143,,44.28571429,41.57142857,
18,51.91666667,47.36666667,46.33333333,46.83333333,,44.83333333,42.33333333,,53.2,47.2,,44.6,42.6,
19,50.1,48.45714286,46.85714286,48.42857143,,46.14285714,43.71428571,,51.42857143,47.71428571,,46.0,43.71428571,
20,47.17142857,44.22857143,43.42857143,45.42857143,,44.14285714,43.14285714,,47.8,45.0,,44.0,43.0,
21,43.1,41.61428571,42.85714286,44.0,,43.85714286,43.0,,46.0,44.0,,43.71428571,43.0,
22,35.31428571,35.58571429,38.14285714,39.28571429,,39.28571429,39.71428571,,39.83333333,38.5,,38.83333333,39.33333333,
23,44.7,39.55714286,36.71428571,38.57142857,,37.85714286,38.0,,42.28571429,38.71428571,,37.85714286,38.0,
24,38.61428571,38.01428571,35.85714286,38.42857143,,38.71428571,38.28571429,,39.5,38.33333333,,38.33333333,38.5,
25,30.87142857,30.42857143,32.57142857,34.71428571,,35.85714286,36.85714286,,33.57142857,34.57142857,,35.71428571,36.71428571,
26,28.47142857,26.9,29.14285714,33.14285714,,34.42857143,35.57142857,,31.71428571,33.0,,34.28571429,35.42857143,
27,29.58571429,28.22857143,34.85714286,33.0,,34.0,35.0,,34.85714286,33.0,,34.0,34.57142857,
28,28.42857143,27.2,33.28571429,33.0,,33.0,34.0,,33.0,32.71428571,,33.14285714,34.0,
29,31.75714286,31.18571429,34.42857143,32.14285714,,33.0,34.0,,34.57142857,32.0,,33.0,34.0,
30,29.3,28.97142857,34.42857143,32.0,,33.0,34.0,,34.14285714,32.0,,33.0,34.0,
31,17.18571429,17.58571429,34.14285714,32.0,,33.0,33.14285714,,34.0,32.0,,33.0,33.14285714,
32,20.0,20.45714286,34.28571429,32.0,,32.57142857,33.0,,34.0,32.0,,32.14285714,33.0,
33,-2.428571429,-0.528571429,33.42857143,32.0,,32.0,33.0,,33.42857143,32.0,,32.0,33.0,
34,10.81428571,8.742857143,33.42857143,31.0,,32.0,33.0,,33.57142857,31.0,,32.0,33.0,
35,23.91428571,25.6,34.85714286,31.0,,32.0,33.0,,34.85714286,31.28571429,,32.0,33.0,
36,1.385714286,2.185714286,34.71428571,31.0,,32.0,33.0,,34.57142857,31.0,,32.0,33.0,
37,10.14285714,7.542857143,33.42857143,31.0,,32.0,32.85714286,,33.57142857,31.0,,32.0,32.57142857,
38,10.32857143,11.61428571,33.0,31.0,,32.0,32.28571429,,33.0,31.0,,32.0,32.0,
39,11.18571429,9.0,33.0,31.0,,32.0,32.28571429,,33.0,31.0,,32.0,32.0,
40,28.87142857,29.07142857,33.57142857,31.0,,32.0,32.0,,33.57142857,31.0,,32.0,32.0,
41,17.35714286,18.91428571,32.71428571,31.0,,32.0,32.0,,32.57142857,31.0,,32.0,32.0,
42,5.642857143,7.628571429,32.28571429,31.0,,32.0,32.0,,32.28571429,31.0,,32.0,32.0,
43,10.04285714,6.828571429,32.14285714,31.0,,32.0,32.0,,32.16666667,31.0,,32.0,32.0,
44,20.28571429,21.57142857,32.85714286,31.0,,32.0,32.0,,32.71428571,31.0,,32.0,32.0,
45,17.5,15.97142857,31.71428571,31.0,,32.0,32.0,,31.85714286,31.0,,32.0,32.0,
46,21.12857143,21.12857143,31.71428571,31.0,,31.14285714,32.0,,31.83333333,31.0,,31.0,32.0,
47,16.32857143,15.05714286,29.71428571,30.57142857,,31.0,32.0,,30.0,30.57142857,,31.0,32.0,
48,28.48571429,26.9,32.57142857,31.0,,31.0,32.0,,32.28571429,31.0,,31.0,32.0,
49,13.55714286,10.9,28.85714286,31.0,,31.0,32.0,,28.28571429,30.85714286,,31.0,32.0,
50,18.71428571,15.65714286,30.0,30.71428571,,31.0,32.0,,29.42857143,30.85714286,,31.0,32.0,
51,10.5,6.457142857,26.57142857,30.14285714,,31.0,32.0,,26.57142857,30.0,,31.0,32.0,
52,31.9,29.91428571,32.42857143,30.85714286,,31.0,32.0,,32.57142857,30.85714286,,31.0,32.0,
53,31.44285714,27.48571429,33.14285714,31.0,,31.0,32.0,,32.85714286,31.0,,31.0,32.0,
54,34.3,30.58571429,33.42857143,31.0,,31.0,32.0,,33.28571429,31.0,,31.0,32.0,
55,31.32857143,25.47142857,32.71428571,31.14285714,,31.0,32.0,,32.71428571,31.42857143,,31.0,32.0,
56,40.25714286,35.34285714,34.28571429,32.0,,31.0,32.0,,33.28571429,32.42857143,,31.57142857,32.57142857,
57,39.14285714,35.78571429,35.0,32.0,,31.28571429,32.0,,35.0,32.0,,31.57142857,32.0,
58,42.2,37.57142857,34.85714286,32.0,,31.57142857,32.0,,36.28571429,32.0,,32.0,32.0,
59,48.58571429,45.55714286,40.71428571,32.57142857,,31.85714286,32.0,,46.71428571,32.71428571,,32.0,32.0,
60,43.7,40.71428571,37.85714286,33.42857143,,32.0,32.0,,45.42857143,33.57142857,,32.0,32.0,
61,45.82857143,40.32857143,38.71428571,34.57142857,,32.0,32.0,,49.14285714,34.57142857,,32.0,32.0,
62,46.25714286,42.21428571,40.57142857,36.28571429,,32.0,32.0,,49.71428571,36.14285714,,32.0,32.0,
63,47.38571429,44.28571429,44.0,38.42857143,,33.57142857,32.42857143,,51.28571429,38.42857143,,33.85714286,32.57142857,
64,54.18571429,49.2,46.57142857,42.0,,37.57142857,34.85714286,,56.14285714,42.0,,37.57142857,35.0,
65,54.22857143,47.97142857,46.14285714,44.28571429,,40.42857143,37.28571429,,55.42857143,44.28571429,,40.42857143,37.42857143,
66,53.84285714,51.74285714,51.85714286,48.0,,43.85714286,40.28571429,,56.57142857,48.0,,44.14285714,40.57142857,
67,55.12857143,50.34285714,50.71428571,50.14285714,,47.57142857,45.42857143,,57.28571429,50.42857143,,47.71428571,45.71428571,
68,56.45714286,54.67142857,53.28571429,52.42857143,,49.71428571,46.85714286,,57.28571429,51.85714286,,49.42857143,47.0,
69,49.08571429,46.2,47.71428571,45.14285714,,43.28571429,42.42857143,,52.0,44.71428571,,42.85714286,42.28571429,
70,51.41428571,49.22857143,50.57142857,47.57142857,,44.71428571,43.71428571,,54.42857143,47.0,,44.85714286,43.57142857,
71,53.2,50.74285714,52.71428571,49.0,,46.28571429,44.42857143,,55.71428571,48.85714286,,46.42857143,44.57142857,
72,53.1,48.24285714,47.57142857,48.85714286,,47.0,45.14285714,,53.83333333,48.66666667,,47.0,45.0,
73,50.81428571,48.37142857,49.14285714,48.14285714,,46.85714286,45.0,,53.28571429,47.85714286,,46.57142857,45.0,
74,49.65714286,46.84285714,47.57142857,47.71428571,,46.71428571,45.0,,51.85714286,47.42857143,,46.42857143,45.0,
75,45.4,42.58571429,41.85714286,44.28571429,,44.28571429,43.57142857,,45.71428571,43.85714286,,43.85714286,43.42857143,
76,41.31428571,38.95714286,37.57142857,40.85714286,,41.85714286,42.28571429,,41.0,40.57142857,,41.57142857,42.14285714,
77,40.21428571,38.24285714,37.28571429,39.85714286,,40.71428571,41.14285714,,41.42857143,39.85714286,,40.71428571,41.0,
78,36.05714286,36.12857143,37.14285714,38.14285714,,39.28571429,39.85714286,,37.42857143,38.0,,39.28571429,39.85714286,
79,33.62857143,32.41428571,31.28571429,35.0,,36.71428571,38.28571429,,31.85714286,35.0,,36.57142857,38.0,
80,35.75714286,32.05714286,26.57142857,32.42857143,,34.85714286,36.42857143,,29.28571429,32.28571429,,34.71428571,36.42857143,
81,19.71428571,18.42857143,19.14285714,30.28571429,,33.57142857,35.28571429,,18.16666667,30.0,,33.33333333,35.16666667,
82,18.42857143,16.72857143,21.57142857,30.14285714,,32.14285714,34.14285714,,23.0,30.28571429,,32.0,34.0,
83,29.0,28.62857143,24.85714286,30.28571429,,32.0,33.57142857,,24.57142857,30.14285714,,32.0,33.42857143,
84,19.32857143,18.81428571,20.71428571,29.71428571,,32.0,33.0,,22.28571429,29.71428571,,32.0,33.0,
85,28.12857143,29.02857143,27.28571429,30.42857143,,32.0,33.0,,27.57142857,30.28571429,,32.0,33.0,
86,10.01428571,10.35714286,18.28571429,29.42857143,,31.71428571,33.0,,17.85714286,29.42857143,,31.71428571,33.0,
87,-3.485714286,-1.128571429,7.0,28.28571429,,31.0,32.71428571,,6.666666667,28.16666667,,31.0,32.83333333,
88,-9.757142857,-9.871428571,6.428571429,28.42857143,,31.0,32.14285714,,7.0,28.28571429,,31.0,32.0,
89,5.714285714,4.514285714,9.142857143,28.42857143,,30.42857143,32.0,,9.571428571,28.28571429,,30.28571429,32.0,
90,18.0,17.05714286,21.71428571,29.0,,30.57142857,32.0,,23.85714286,29.42857143,,30.71428571,32.0,
91,9.585714286,10.61428571,28.14285714,29.71428571,,31.0,32.0,,27.71428571,29.85714286,,31.0,32.0,
92,19.27142857,18.77142857,29.71428571,29.57142857,,31.0,32.0,,30.14285714,29.71428571,,31.0,32.0,
93,10.12857143,10.6,31.42857143,30.42857143,,31.0,32.0,,31.42857143,30.42857143,,31.0,32.0,
94,-8.114285714,-5.042857143,31.0,29.85714286,,31.0,32.0,,31.0,30.0,,31.0,32.0,
95,-5.971428571,-8.171428571,30.42857143,29.0,,30.28571429,32.0,,30.28571429,29.0,,30.14285714,32.0,
96,20.11428571,20.44285714,30.71428571,29.57142857,,30.71428571,32.0,,30.71428571,29.71428571,,30.71428571,32.0,
97,21.01428571,20.47142857,30.42857143,30.0,,31.0,32.0,,30.28571429,30.0,,31.0,32.0,
98,2.6,-0.7,30.28571429,29.42857143,,30.57142857,32.0,,30.42857143,29.42857143,,30.42857143,32.0,
99,10.32857143,12.67142857,30.28571429,29.57142857,,30.42857143,31.28571429,,30.0,29.71428571,,30.42857143,31.85714286,
100,15.18571429,15.05714286,29.71428571,29.28571429,,30.14285714,31.0,,29.8,29.2,,30.0,31.0,
101,-10.45714286,-12.55714286,32.0,30.0,,31.0,31.0,,32.0,30.0,,31.0,31.0,
102,-0.385714286,-3.457142857,31.14285714,29.0,,30.0,31.0,,31.14285714,29.0,,30.0,31.0,
103,-4.785714286,-9.528571429,30.71428571,29.0,,30.0,31.0,,30.71428571,29.0,,30.0,31.0,
104,7.685714286,2.257142857,30.0,29.0,,30.0,31.0,,30.0,29.0,,30.0,31.0,
105,29.18571429,25.47142857,30.42857143,29.42857143,,30.28571429,31.0,,30.71428571,29.57142857,,30.28571429,31.0,
106,26.75714286,22.64285714,32.28571429,30.71428571,,31.0,31.0,,32.28571429,30.71428571,,31.0,31.0,
107,25.65714286,22.32857143,31.85714286,31.0,,31.0,31.0,,31.57142857,31.0,,31.0,31.0,
108,30.74285714,24.3,30.0,30.42857143,,31.0,31.0,,30.16666667,30.33333333,,31.0,31.0,
109,37.4,32.71428571,34.85714286,31.42857143,,31.0,31.0,,34.85714286,31.42857143,,31.0,31.71428571,
110,41.77142857,37.28571429,35.0,32.0,,31.0,32.0,,35.0,32.0,,31.0,32.0,
111,44.9,40.08571429,35.0,32.0,,31.0,32.0,,35.0,32.0,,31.0,32.0,
112,44.01428571,41.47142857,36.14285714,32.14285714,,31.0,32.0,,39.28571429,32.42857143,,31.0,32.0,
113,41.32857143,36.42857143,36.14285714,32.42857143,,31.14285714,32.0,,44.71428571,32.85714286,,31.14285714,32.0,
114,51.68571429,45.07142857,42.71428571,35.14285714,,31.42857143,32.0,,55.71428571,35.28571429,,31.85714286,32.0,
115,53.24285714,50.28571429,48.28571429,37.71428571,,31.85714286,32.0,,56.28571429,37.14285714,,31.85714286,32.0,
