week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,27.38571429,,,29.28571429,29.42857143,29.0,29.85714286,32.0,,29.14285714,29.42857143,29.0,30.0,32.0
2,35.87142857,,,31.0,30.85714286,30.0,30.14285714,32.0,,31.0,31.0,30.14285714,30.28571429,32.0
3,41.57142857,,,31.0,31.71428571,31.0,31.0,32.0,,31.42857143,32.0,31.0,31.0,32.0
4,42.92857143,,,32.71428571,32.85714286,31.0,31.0,32.0,,33.57142857,33.0,31.0,31.0,32.0
5,42.61428571,,,35.14285714,35.42857143,32.71428571,31.0,32.0,,35.71428571,34.71428571,32.14285714,31.0,32.0
6,50.81428571,,,40.42857143,40.0,36.28571429,31.0,32.0,,41.28571429,39.57142857,35.71428571,31.0,32.0
7,58.77142857,,,45.71428571,45.28571429,40.57142857,31.0,32.0,,46.14285714,44.14285714,39.85714286,31.14285714,32.0
8,62.72857143,,,49.57142857,48.71428571,43.85714286,33.28571429,32.0,,49.85714286,47.85714286,43.28571429,33.57142857,32.0
9,55.82857143,,,49.28571429,48.85714286,45.14285714,36.28571429,32.0,,48.42857143,47.42857143,44.0,36.57142857,32.0
10,52.17142857,,,47.0,46.71428571,43.57142857,37.14285714,32.0,,47.42857143,46.14285714,43.0,37.28571429,32.0
11,58.32857143,,,50.28571429,49.42857143,45.71428571,39.0,32.0,,50.28571429,48.71428571,45.42857143,39.14285714,32.0
12,67.74285714,,,56.0,55.14285714,50.42857143,41.85714286,32.0,,56.14285714,54.28571429,50.28571429,42.14285714,32.0
13,60.47142857,,,55.28571429,54.14285714,50.71428571,43.57142857,33.14285714,,55.0,53.28571429,50.42857143,43.85714286,33.14285714
14,64.48571429,,,56.71428571,55.28571429,51.71428571,44.42857143,37.42857143,,56.42857143,54.71428571,51.14285714,44.85714286,37.57142857
15,60.65714286,,,56.28571429,55.57142857,52.71428571,47.28571429,41.57142857,,55.85714286,54.42857143,52.0,47.28571429,41.57142857
16,59.17142857,,,55.28571429,55.14285714,52.57142857,48.71428571,43.71428571,,55.66666667,54.8,52.2,48.8,43.6
17,61.57142857,,,60.57142857,60.57142857,58.0,51.57142857,45.57142857,,60.85714286,62.0,58.0,52.66666667,46.2
18,58.48333333,,,59.14285714,59.66666667,57.83333333,53.28571429,47.85714286,,59.83333333,,,53.33333333,47.66666667
19,55.675,,,57.66666667,58.66666667,58.66666667,55.66666667,50.0,,57.33333333,57.0,58.0,56.0,50.0
20,54.82857143,,,56.0,56.42857143,55.71428571,53.28571429,50.0,,56.57142857,,55.0,53.66666667,50.0
21,51.97142857,,,54.0,54.4,54.85714286,52.85714286,49.85714286,,54.42857143,,52.33333333,53.0,50.0
22,44.64285714,,,48.14285714,,49.71428571,50.14285714,49.0,,47.85714286,,48.85714286,49.25,49.0
23,48.05,,,45.83333333,47.5,47.66666667,47.0,47.16666667,,46.66666667,,46.66666667,47.0,
24,44.05714286,,,45.14285714,46.28571429,47.14285714,46.71428571,46.71428571,,45.71428571,45.0,46.14285714,46.71428571,46.33333333
25,38.67142857,,,42.14285714,43.0,43.66666667,44.5,45.33333333,,42.0,,43.6,44.6,45.5
