week_number,air_avg,air_obs,soil_obs_00,soil_avg_00
1,27.97142857,21.32857143,30.28571429,30.0
2,32.58571429,28.92857143,30.85714286,31.0
3,37.68571429,31.45714286,32.0,32.14285714
4,38.14285714,29.04285714,33.0,33.0
5,38.55714286,29.2,33.0,33.14285714
6,47.74285714,37.65714286,35.28571429,40.0
7,55.94285714,43.68571429,40.14285714,44.85714286
8,57.9,47.07142857,44.71428571,48.57142857
9,50.82857143,43.15714286,44.71428571,47.57142857
10,48.04285714,40.22857143,42.57142857,46.0
11,52.81428571,44.54285714,45.0,48.57142857
12,60.97142857,50.47142857,50.57142857,53.0
13,57.2,52.18571429,51.42857143,52.85714286
14,58.81428571,52.27142857,51.85714286,53.42857143
15,55.57142857,51.42857143,52.14285714,53.0
16,54.4,50.38571429,50.57142857,52.28571429
17,55.18571429,49.01428571,50.85714286,52.28571429
18,55.16666667,48.33333333,50.16666667,51.4
19,52.88571429,48.21428571,50.28571429,51.33333333
20,49.92857143,44.67142857,46.85714286,47.83333333
21,46.71428571,43.0,46.14285714,47.0
22,40.08571429,38.48571429,42.14285714,42.83333333
23,45.08571429,36.51428571,39.14285714,41.42857143
24,41.11428571,37.38571429,39.85714286,41.0
25,34.64285714,32.6,36.71428571,37.28571429
26,33.15714286,31.1,34.28571429,34.28571429
27,31.77142857,30.34285714,34.0,33.85714286
28,27.17142857,24.28571429,32.85714286,32.71428571
29,29.08571429,27.25714286,32.57142857,32.71428571
30,26.4,23.37142857,32.28571429,31.85714286
31,17.81428571,18.4,32.14285714,31.85714286
32,19.74285714,19.75714286,32.42857143,32.33333333
33,-7.114285714,-8.442857143,31.42857143,31.28571429
34,11.95714286,9.571428571,30.71428571,30.71428571
35,18.34285714,20.71428571,31.57142857,31.71428571
36,-6.328571429,-6.428571429,29.42857143,29.57142857
37,-2.8,-3.257142857,27.85714286,27.57142857
38,4.385714286,6.928571429,27.71428571,27.5
39,3.814285714,3.528571429,26.42857143,26.66666667
40,29.31428571,30.42857143,28.85714286,29.14285714
41,5.071428571,4.528571429,27.85714286,27.71428571
42,-1.785714286,0.257142857,26.42857143,26.14285714
43,1.6,0.171428571,24.57142857,24.57142857
44,11.97142857,12.25714286,26.71428571,26.8
45,-5.3,-2.2,25.5,
46,18.15,16.06,25.6,25.8
47,11.68571429,5.7,24.57142857,24.85714286
48,26.98571429,22.77142857,27.42857143,27.57142857
49,9.7,4.542857143,26.42857143,26.28571429
50,14.38571429,6.742857143,25.42857143,25.28571429
51,10.21428571,4.514285714,24.42857143,24.57142857
52,33.51428571,26.65714286,27.71428571,28.0
53,31.3,26.1,32.57142857,32.42857143
54,35.52857143,29.45714286,32.71428571,32.71428571
55,32.57142857,24.38571429,33.0,32.85714286
56,41.71428571,32.4,33.0,32.28571429
57,42.45714286,35.54285714,34.14285714,37.14285714
58,45.17142857,38.25714286,37.14285714,39.5
59,51.57142857,44.71428571,42.57142857,44.42857143
60,47.54285714,41.91428571,42.28571429,44.85714286
61,47.97142857,38.81428571,41.71428571,45.28571429
62,49.97142857,45.64285714,46.14285714,48.28571429
63,51.75714286,46.3,47.42857143,49.57142857
64,57.92857143,52.31428571,49.28571429,51.57142857
65,56.74285714,49.41428571,49.71428571,51.42857143
66,57.27142857,52.82857143,53.42857143,54.14285714
67,58.31428571,52.34285714,53.85714286,55.16666667
68,59.24285714,54.31428571,54.71428571,55.42857143
69,52.38571429,48.12857143,50.71428571,51.71428571
70,55.2,51.77142857,52.28571429,53.42857143
71,56.84285714,52.1,54.0,54.71428571
72,55.11428571,47.27142857,50.85714286,51.83333333
73,54.37142857,48.8,50.85714286,51.85714286
74,52.01428571,47.57142857,50.14285714,50.0
75,45.22857143,37.84285714,42.14285714,43.14285714
76,42.64285714,37.68571429,40.57142857,41.66666667
77,42.61428571,38.32857143,40.85714286,41.71428571
78,40.17142857,39.38571429,39.57142857,39.28571429
79,33.97142857,30.98571429,35.0,35.0
80,29.12857143,23.15714286,31.42857143,31.42857143
81,18.71428571,14.92857143,27.57142857,27.42857143
82,11.58571429,7.228571429,27.71428571,27.57142857
83,21.58571429,19.9,27.85714286,27.57142857
84,11.94285714,11.52857143,25.85714286,25.71428571
85,19.82857143,17.32857143,26.28571429,26.71428571
86,-1.071428571,0.757142857,22.71428571,22.28571429
87,-10.0,-8.685714286,17.57142857,17.16666667
88,-15.78571429,-11.76666667,16.83333333,
89,-22.75,-22.25,14.5,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,-7.92,-0.95,24.0,
96,15.07142857,5.3,25.0,
97,5.585714286,6.685714286,26.0,26.0
98,-2.128571429,-15.88,25.0,
99,7.342857143,5.68,26.0,26.0
100,13.15,3.266666667,26.33333333,
101,-12.1,-18.21428571,26.71428571,26.4
102,-2.2,-8.985714286,24.71428571,24.66666667
103,-5.928571429,-14.88571429,23.71428571,23.8
104,5.814285714,-4.528571429,23.71428571,24.0
105,35.9,19.85,24.5,
106,34.8,25.5,31.0,
107,25.95714286,20.42857143,31.0,31.0
108,30.82857143,21.67142857,30.42857143,30.75
109,39.44285714,31.12857143,33.0,33.0
110,44.05714286,35.51428571,33.14285714,33.42857143
111,47.32857143,39.81428571,36.42857143,38.57142857
112,47.52857143,42.05714286,39.71428571,41.14285714
113,45.4,37.25714286,39.57142857,41.42857143
114,52.74285714,42.97142857,43.14285714,45.14285714
115,57.34285714,50.97142857,49.0,49.85714286
116,52.3,43.97142857,45.42857143,46.71428571
117,57.18571429,49.75714286,49.42857143,50.57142857
118,59.31428571,54.7,52.71428571,53.71428571
119,59.6,53.37142857,53.57142857,54.0
120,61.21428571,55.6,54.0,54.71428571
121,59.24285714,53.57142857,53.42857143,54.14285714
122,57.85714286,50.32857143,51.71428571,52.28571429
123,58.98571429,51.87142857,51.57142857,52.14285714
124,54.92857143,49.98571429,50.14285714,51.0
125,47.64285714,41.7,45.85714286,46.0
126,49.77142857,45.03333333,47.5,48.4
127,47.32857143,41.0,43.71428571,44.28571429
128,46.87142857,42.47142857,43.57142857,44.66666667
129,46.05714286,40.95714286,41.71428571,42.0
130,40.14285714,37.65714286,40.0,40.0
131,37.04285714,32.64285714,36.0,36.42857143
132,38.15714286,36.81666667,37.33333333,38.0
133,29.45,29.48571429,33.57142857,33.42857143
134,12.35714286,9.285714286,32.71428571,32.71428571
135,33.37142857,31.67142857,32.85714286,33.0
136,20.22857143,19.17142857,32.57142857,32.42857143
