week_number,air_avg,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,32.47142857,,23.71428571,23.71428571,23.28571429,23.28571429,24.0,23.85714286,24.0,23.57142857,23.28571429,24.14285714
2,30.84285714,,26.0,26.0,25.71428571,25.28571429,25.42857143,26.0,26.28571429,25.71428571,25.28571429,25.42857143
3,36.04285714,,29.28571429,29.14285714,28.14285714,26.71428571,26.28571429,29.42857143,29.42857143,28.42857143,26.85714286,26.28571429
4,38.67142857,,31.57142857,31.0,30.42857143,29.28571429,27.57142857,32.42857143,31.14285714,30.42857143,29.28571429,27.71428571
5,41.0,,37.0,36.57142857,33.85714286,30.71428571,29.0,39.0,36.57142857,33.14285714,30.71428571,29.0
6,46.67142857,,40.57142857,40.57142857,38.14285714,31.0,29.42857143,41.85714286,40.14285714,37.14285714,31.14285714,29.57142857
7,57.81428571,,46.0,47.0,43.85714286,34.57142857,30.42857143,49.0,47.0,43.0,34.71428571,30.42857143
8,60.71428571,,52.0,53.28571429,50.14285714,39.71428571,31.14285714,53.57142857,52.57142857,48.42857143,39.85714286,31.28571429
9,55.68571429,,52.42857143,53.28571429,51.14285714,42.71428571,34.28571429,54.57142857,53.14285714,50.0,43.0,34.28571429
10,52.67142857,,49.71428571,51.0,49.57142857,43.0,36.28571429,51.85714286,51.14285714,48.85714286,43.0,36.57142857
11,57.01428571,,53.28571429,55.14285714,52.28571429,44.28571429,37.57142857,55.42857143,55.0,51.28571429,44.85714286,37.57142857
12,63.18571429,,58.0,59.28571429,56.57142857,47.71428571,39.42857143,60.42857143,59.0,55.14285714,48.0,39.57142857
13,59.81428571,,58.57142857,59.42857143,57.0,49.42857143,41.42857143,59.85714286,58.71428571,55.85714286,49.57142857,41.5
14,62.6,,58.71428571,59.28571429,56.85714286,49.57142857,42.14285714,60.85714286,59.42857143,56.0,49.85714286,42.0
15,56.62857143,,58.85714286,59.71428571,58.14285714,51.28571429,43.66666667,60.0,58.85714286,56.85714286,51.28571429,43.8
16,57.57142857,,58.0,58.85714286,58.14285714,51.28571429,44.14285714,59.42857143,58.42857143,56.57142857,51.57142857,44.28571429
17,58.58571429,,58.57142857,60.0,58.28571429,51.28571429,45.0,60.0,59.0,56.85714286,51.42857143,45.0
18,56.78333333,,57.14285714,59.14285714,58.14285714,51.57142857,45.14285714,59.83333333,58.5,56.66666667,51.83333333,45.0
19,54.475,,55.66666667,56.66666667,56.0,51.0,46.0,56.33333333,55.66666667,55.33333333,51.0,46.0
