week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,26.62857143,21.45714286,,,,,,,,,,,,
2,28.05714286,25.0,,,,,,,,,,,,
3,33.02857143,28.24285714,,,,,,,,,,,,
4,34.07142857,27.8,,,,,,,,,,,,
5,34.75714286,29.24285714,,,,,,,,,,,,
6,42.81428571,34.65714286,,,,,,,,,,,,
7,52.75714286,41.44285714,,,,,,,,,,,,
8,54.9,43.5,,,,,,,,,,,,
9,47.62857143,42.62857143,,,,,,,,,,,,
10,43.72857143,35.37142857,,,,,,,,,,,,
11,48.87142857,39.74285714,,,,,,,,,,,,
12,55.7,45.97142857,,,,,,,,,,,,
13,53.2,46.45714286,,,,,,,,,,,,
14,54.91428571,48.37142857,,,,,,,,,,,,
15,51.4,47.12857143,,,,,,,,,,,,
16,49.71428571,46.52857143,,,,,,,,,,,,
17,51.75714286,45.74285714,,,,,,,,,,,,
18,50.8,45.1,,,,,,,,,,,,
19,49.21428571,44.14285714,,,,,,,,,,,,
20,46.85714286,41.78571429,,,,,,,,,,,,
21,43.8,41.15714286,,,,,,,,,,,,
22,36.12857143,35.32857143,,,,,,,,,,,,
23,42.78571429,34.97142857,,,,,,,,,,,,
24,37.85714286,34.4,,,,,,,,,,,,
25,31.48571429,31.21428571,,,,,,,,,,,,
26,29.47142857,27.17142857,,,,,,,,,,,,
27,28.91428571,26.94285714,,,,,,,,,,,,
28,27.77142857,25.37142857,,,,,,,,,,,,
29,30.3,28.3,,,,,,,,,,,,
30,27.14285714,25.34285714,,,,,,,,,,,,
31,16.42857143,17.27142857,,,,,,,,,,,,
32,18.2,19.28571429,,,,,,,,,,,,
33,-3.5,-3.285714286,,,,,,,,,,,,
34,10.28571429,9.228571429,,,,,,,,,,,,
35,22.75714286,24.04285714,,,,,,,,,,,,
36,0.485714286,0.642857143,,,,,,,,,,,,
37,5.871428571,3.471428571,,,,,,,,,,,,
38,9.557142857,12.04285714,,,,,,,,,,,,
39,8.885714286,6.028571429,,,,,,,,,,,,
40,27.15714286,26.9,,,,,,,,,,,,
41,16.08571429,15.57142857,,,,,,,,,,,,
42,5.828571429,6.485714286,,,,,,,,,,,,
43,8.3,6.557142857,,,,,,,,,,,,
44,18.0,18.62857143,,,,,,,,,,,,
45,14.22857143,12.91428571,,,,,,,,,,,,
46,19.11428571,18.12857143,,,,,,,,,,,,
47,15.54285714,12.85714286,,,,,,,,,,,,
