week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40,soil_avg_00,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
1,25.98571429,21.1,,29.0,,29.42857143,30.0,,,29.33333333,,29.66666667,30.0,
2,28.11428571,24.87142857,,30.0,,30.0,30.14285714,,,30.0,,30.0,30.14285714,
3,34.01428571,29.85714286,,30.0,,30.0,31.0,,,30.0,,30.0,31.0,
4,36.12857143,31.95714286,,30.85714286,,30.85714286,31.0,,,31.0,,31.0,31.0,
5,36.61428571,32.04285714,,31.0,,32.0,31.0,,,31.14285714,,32.0,31.0,
6,44.0,35.87142857,,31.57142857,,31.85714286,31.14285714,,,31.57142857,,32.0,31.71428571,
7,53.72857143,41.62857143,,33.14285714,,32.0,32.0,,,33.0,,32.0,32.0,
8,55.91428571,44.14285714,,36.42857143,,33.0,32.0,,,35.71428571,,32.85714286,32.0,
9,48.3,43.52857143,,38.28571429,,35.71428571,32.0,,,37.28571429,,35.14285714,32.0,
10,45.2,37.55714286,,38.57142857,,36.71428571,33.14285714,,,38.14285714,,36.57142857,33.28571429,
11,49.9,39.47142857,,41.57142857,,39.14285714,35.14285714,,,41.28571429,,39.14285714,35.42857143,
12,59.5,47.32857143,,46.57142857,,44.28571429,38.14285714,,,46.14285714,,43.71428571,38.57142857,
13,53.97142857,46.08571429,,47.42857143,,45.57142857,40.42857143,,,46.71428571,,44.85714286,40.57142857,
14,57.07142857,50.87142857,,49.57142857,,47.42857143,42.14285714,,,49.0,,46.85714286,42.42857143,
15,54.05714286,47.34285714,,49.0,,47.42857143,43.42857143,,,48.42857143,,47.14285714,43.28571429,
16,51.11428571,48.12857143,,48.71428571,,47.42857143,44.0,,,48.14285714,,47.14285714,44.0,
17,53.92857143,46.72857143,,49.57142857,,47.85714286,44.14285714,,,48.85714286,,47.71428571,44.28571429,
18,49.61666667,43.61428571,,48.42857143,,47.42857143,44.28571429,,,47.83333333,,46.83333333,44.66666667,
19,48.05,45.8,,48.33333333,,47.66666667,44.66666667,,,47.66666667,,47.33333333,45.0,
20,48.02857143,42.88571429,,46.85714286,,46.14285714,44.0,,,46.42857143,,45.85714286,44.0,
21,44.67142857,41.6,,46.0,,45.57142857,43.57142857,,,45.14285714,,45.14285714,43.42857143,
22,36.77142857,35.71428571,,42.57142857,,42.57142857,41.71428571,,,41.71428571,,42.14285714,41.42857143,
23,44.98333333,36.36666667,,39.16666667,,38.66666667,37.66666667,,,38.5,,38.33333333,37.66666667,
24,38.42857143,35.32857143,,38.28571429,,38.42857143,37.71428571,,,37.85714286,,37.85714286,37.57142857,
25,33.04285714,33.25714286,,35.28571429,,35.57142857,35.85714286,,,35.0,,35.42857143,35.71428571,
26,29.64285714,26.65714286,,32.42857143,,33.28571429,34.28571429,,,32.28571429,,33.14285714,34.28571429,
27,30.22857143,29.37142857,,32.0,,33.0,33.0,,,32.0,,33.0,33.0,
28,29.28571429,26.62857143,,32.0,,33.0,33.0,,,32.0,,32.83333333,33.0,
29,31.35714286,28.65714286,,32.0,,32.0,33.0,,,32.0,,32.0,33.0,
30,29.75714286,25.9,,32.0,,32.0,33.0,,,32.0,,32.0,33.0,
31,18.31428571,20.34285714,,32.0,,32.0,33.0,,,32.0,,32.0,33.0,
32,20.38571429,21.14285714,,32.0,,32.0,32.14285714,,,32.0,,32.0,32.0,
33,-3.328571429,-6.085714286,,31.57142857,,32.0,32.0,,,31.57142857,,32.0,32.0,
34,10.77142857,8.9,,31.0,,32.0,32.0,,,31.0,,32.0,32.0,
35,25.72857143,26.7,,31.14285714,,32.0,32.0,,,31.0,,32.0,32.0,
36,-1.6,-1.2,,31.0,,32.0,32.0,,,31.0,,32.0,32.0,
37,6.971428571,4.557142857,,31.0,,32.0,32.0,,,31.0,,32.0,32.0,
38,12.38571429,13.14285714,,31.0,,32.0,32.0,,,31.0,,32.0,32.0,
39,8.485714286,6.828571429,,31.0,,31.85714286,32.0,,,31.0,,32.0,32.0,
40,28.54285714,29.62857143,,31.0,,31.28571429,32.0,,,31.0,,31.14285714,32.0,
41,17.12857143,17.04285714,,31.0,,31.0,32.0,,,31.0,,31.0,32.0,
42,9.9,10.88571429,,31.0,,31.0,32.0,,,31.0,,31.0,32.0,
43,12.15714286,9.485714286,,31.0,,31.0,32.0,,,31.0,,31.0,32.0,
44,19.68571429,20.3,,31.0,,31.0,32.0,,,30.85714286,,31.0,32.0,
45,15.12857143,16.94285714,,30.0,,30.71428571,32.0,,,30.0,,30.71428571,32.0,
46,19.58571429,16.41428571,,30.0,,30.0,31.14285714,,,30.0,,30.0,31.28571429,
47,18.88571429,13.14285714,,29.14285714,,29.85714286,31.0,,,29.14285714,,30.0,31.0,
48,28.91428571,26.58571429,,29.71428571,,30.0,31.0,,,29.85714286,,30.0,31.0,
49,15.37142857,12.32857143,,29.85714286,,30.0,31.0,,,30.0,,30.0,31.0,
50,16.94285714,11.22857143,,29.0,,29.42857143,31.0,,,29.0,,29.42857143,31.0,
51,13.18571429,10.0,,29.0,,29.0,31.0,,,29.0,,29.0,31.0,
52,30.52857143,26.04285714,,29.42857143,,29.71428571,31.0,,,29.57142857,,29.71428571,31.0,
53,30.85714286,26.87142857,,30.57142857,,30.71428571,31.0,,,30.71428571,,30.71428571,31.0,
54,33.32857143,28.52857143,,31.0,,31.0,31.0,,,31.0,,31.0,31.0,
55,31.9,26.34285714,,31.0,,31.0,31.0,,,31.0,,31.0,31.0,
56,40.85714286,36.88571429,,31.0,,31.0,31.14285714,,,31.0,,31.14285714,31.14285714,
57,40.24285714,34.67142857,,31.14285714,,31.57142857,31.85714286,,,31.14285714,,32.0,32.0,
58,41.54285714,32.82857143,,31.0,,31.57142857,31.85714286,,,31.42857143,,32.0,32.0,
59,48.78571429,43.17142857,,32.14285714,,32.0,32.0,,,32.28571429,,32.0,32.0,
60,44.47142857,40.3,,33.85714286,,32.0,32.0,,,33.71428571,,32.0,32.0,
61,46.7,39.18571429,,35.85714286,,33.28571429,31.57142857,,,35.28571429,,33.28571429,32.0,
62,45.45714286,38.91428571,,38.85714286,,36.71428571,33.42857143,,,38.28571429,,36.42857143,33.57142857,
63,47.34285714,42.42857143,,41.28571429,,39.57142857,36.42857143,,,40.83333333,,39.33333333,36.5,
64,53.42857143,46.24285714,,46.0,,43.85714286,39.28571429,,,45.33333333,,43.0,39.5,
65,54.61428571,46.08571429,,47.14285714,,45.57142857,41.57142857,,,47.0,,45.33333333,41.66666667,
66,55.01428571,50.65714286,,50.14285714,,48.14285714,43.71428571,,,49.85714286,,48.0,43.85714286,
67,55.87142857,47.15714286,,52.28571429,,50.28571429,46.0,,,51.42857143,,50.0,46.0,
