# weekly soil temperature (F) at 8 cm depth for snotel sites across Alaska calculated from average daily temperature,,,,,,,,,,,,,,,,
week_start,aniak,eagle_summit,galena,gobblers_knob,gulkana_river,imnaviat_creek,little_chena_ridge,mcgrath,monument_creek,mt_ryan,munson_ridge,nenana,teuchet_creek,tok,upper_chena,upper_nome_creek
4/1/15,29.5,25.83333333,,25.28571429,,26.71428571,31,,32,31,31,29,,23.57142857,,29.66666667
4/8/15,30.28571429,26,,26.28571429,,27,31,,32,31,31,30.14285714,,25.71428571,,30
4/15/15,30.28571429,26.28571429,,27.85714286,,26.42857143,31,,32,31,31,31,,28.42857143,,30
4/22/15,31,27,,31,,27,31,,32,31,31,31,,30.42857143,,31
4/29/15,31,27.14285714,,31,,27.28571429,31,,32,31,31,32.14285714,,33.14285714,,32
5/6/15,31,30.14285714,,33.14285714,,28.71428571,31,,32,31,31.85714286,35.71428571,,37.14285714,,32
5/13/15,31.14285714,31.14285714,,37.71428571,,30.57142857,32.85714286,,32,31,32,39.85714286,,43,,32
5/20/15,33,35,,41.28571429,,31.85714286,36.85714286,,32,31.71428571,32,43.28571429,,48.42857143,,32.85714286
5/27/15,36,36.42857143,,42.14285714,,34.14285714,39.57142857,,32,32.42857143,32,44,,50,,35.14285714
6/3/15,37.14285714,35.28571429,,40.85714286,,34.28571429,40,,32.85714286,32.71428571,32,43,,48.85714286,,36.57142857
6/10/15,38.28571429,39,,43.14285714,,37.85714286,43.14285714,,34.85714286,33.42857143,32.85714286,45.42857143,,51.28571429,,39.14285714
6/17/15,43.57142857,44.42857143,,50.14285714,,46.14285714,48.66666667,,37.66666667,34.5,35.83333333,50.28571429,,55.14285714,,43.71428571
6/24/15,43.28571429,44.42857143,,49.85714286,,47,50.33333333,,39.57142857,34.85714286,38.57142857,50.42857143,,55.85714286,,44.85714286
7/1/15,43.71428571,45,,50.14285714,,47.71428571,51.28571429,,41.71428571,36.42857143,40.71428571,51.14285714,,56,,46.85714286
7/8/15,45.14285714,45.14285714,,48.85714286,,47.57142857,51.42857143,,43.57142857,38,42.71428571,52,,56.85714286,,47.14285714
7/15/15,45.14285714,44.14285714,,49.16666667,,46.57142857,51.14285714,,44.42857143,39.85714286,43,52.2,,56.57142857,,47.14285714
7/22/15,44.71428571,45.28571429,,50.42857143,,46,52.14285714,,45.28571429,41.28571429,44.28571429,58,,56.85714286,,47.71428571
