# average weekly smos soil freeze-thaw state for snotel sites acros Alaska,,,,,,,,,,,,,,,,
week_start,aniak,eagle_summit,galena,gobblers_knob,gulkana_river,imnaviat_creek,little_chena_ridge,mcgrath,monument_creek,mt_ryan,munson_ridge,nenana,teuchet_creek,tok,upper_chena,upper_nome_creek
4/1/15,3,3,3,3,3,3,3,2.857142925,3,3,3,3,3,3,3,3
4/8/15,3,3,3,3,3,3,3,2.857142925,3,3,3,3,3,3,3,3
4/15/15,2.142857075,3,3,3,3,3,2.142857075,1.714285731,3,2.142857075,2.142857075,2.142857075,3,3,3,3
4/22/15,1,1.857142806,2.142857075,2.714285612,1.857142806,3,1,1,2.142857075,1,1,1,2.142857075,1.571428537,3,3
4/29/15,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3
5/6/15,1,1,1,1,1,1.857142806,1,1,1,1,1,1,1,1,1.571428537,1.571428537
5/13/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/20/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/27/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/3/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/10/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/17/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/24/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/1/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/8/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/15/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/22/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/29/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/5/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/12/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/19/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/26/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/2/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/9/15,1,1,1,1,1,1.142857194,1,1,1,1,1,1,1,1,1,1
9/16/15,1,1,1,1,1,2.428571463,1,1,1,1,1,1,1,1,1,1
9/23/15,1,1.428571463,1,2,1,3,1,1,1.571428537,1,1,1,1.571428537,1,2.285714388,2.571428537
9/30/15,1,1.142857194,1,3,1,3,1,1,1.428571463,1,1,1,1.428571463,1,1.571428537,3
10/7/15,1,2,1,3,1,3,1.142857194,1,1,1.142857194,1.142857194,1.142857194,1,1,1.285714269,3
10/14/15,1,2,1,3,1,3,1,1,1.285714269,1,1,1,1.285714269,1.571428537,1.714285731,3
10/21/15,1,2.428571463,2.142857075,3,1,3,1,1,2.571428537,1,1,1,2.571428537,1.714285731,3,3
10/28/15,1,3,2.285714388,3,2.857142925,3,1,2,3,1,1,1.857142806,3,2.142857075,3,3
11/4/15,1.142857194,3,3,3,3,3,1,3,3,1,1,2.857142925,3,3,3,3
11/11/15,2.857142925,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3
11/18/15,3,3,3,3,3,3,1.571428537,3,3,1.571428537,1.571428537,3,3,3,3,3
11/25/15,3,3,3,3,3,3,2.857142925,3,3,2.857142925,2.857142925,3,3,3,3,3
12/2/15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/9/15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/16/15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/23/15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/30/15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/6/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/13/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/20/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/27/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/3/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/10/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/17/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/24/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/2/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/9/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/16/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/23/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/30/16,3,3,3,3,1.142857194,3,3,2.428571463,3,3,3,3,3,2.428571463,3,3
4/6/16,1.857142806,3,2.857142925,3,1,3,2.142857075,1.142857194,2.428571463,2.142857075,2.142857075,3,2.428571463,1,3,3
4/13/16,1,3,1.142857194,3,1,3,1,1,1,1,1,3,1,1,3,3
4/20/16,1,2.142857075,1,3,1,3,1,1,1,1,1,1.285714269,1,1,2.142857075,3
4/27/16,1,1,1,1.285714269,1,3,1,1,1,1,1,1,1,1,1,1.285714269
5/4/16,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
5/11/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/18/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/25/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/1/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/8/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/15/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/22/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/29/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/6/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/13/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/20/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/27/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/3/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/10/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/17/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/24/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/31/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/7/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/14/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/21/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/28/16,1,1,1,1.428571463,1,1.714285731,1,1,1,1,1,1,1,1,1,1
10/5/16,1,2,1,2.285714388,1,2,1,1,2,1,1,1,2,1.571428537,2.428571463,1.714285731
10/12/16,1,2.571428537,1,2.714285612,2.571428537,2,1.571428537,1,2.428571463,1.571428537,1.571428537,1,2.428571463,2.285714388,1.857142806,1.857142806
10/19/16,1.285714269,3,2,3,2.857142925,2.142857075,2.857142925,1.857142806,2.857142925,2.857142925,2.857142925,1.142857194,2.857142925,3,2.857142925,1.714285731
10/26/16,2,3,2.857142925,3,3,3,3,2.857142925,3,3,3,2.428571463,3,3,3,2.428571463
11/2/16,1.857142806,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/9/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/16/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/23/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/30/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/7/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/14/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/21/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/28/16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/4/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/11/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/18/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/25/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/1/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/8/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/15/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/22/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/1/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/8/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/15/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/22/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/29/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/5/17,3,3,3,3,3,3,3,2.714285612,3,3,3,3,3,3,3,3
4/12/17,1.571428537,3,3,3,2.571428537,3,3,1,3,3,3,3,3,3,3,3
4/19/17,1,3,2.571428537,3,1.714285731,3,3,1,3,3,3,2.714285612,3,2.142857075,3,3
4/26/17,1,2.714285612,1,3,1,3,2.142857075,1,2.428571463,2.142857075,2.142857075,1.285714269,2.428571463,1,3,3
5/3/17,1,1,1,1.571428537,1,3,1,1,1,1,1,1,1,1,1.857142806,2.142857075
5/10/17,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
5/17/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/24/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/31/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/7/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/14/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/21/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/28/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/5/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/12/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/19/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/26/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/2/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/9/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/16/17,1,1,1,1,1,1,1,N/A,1,1,1,1,1,1,1,1
8/23/17,1,1,1,1,1,1,1,N/A,1,1,1,1,1,1,1,1
8/30/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/6/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/13/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/20/17,1,1,1,1,1,1.285714269,1,1,1,1,1,1,1,1,1,1
9/27/17,1,1,1,1,1,2.714285612,1,1,1,1,1,1,1,1,1,1
10/4/17,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
10/11/17,1,1.285714269,1,2.142857075,1,3,1,1,1.142857194,1,1,1,1.142857194,1.142857194,1.857142806,1.714285731
10/18/17,1.714285731,2.714285612,1.571428537,3,2.714285612,3,1.142857194,1.142857194,1.714285731,1.142857194,1.142857194,1,1.714285731,2.714285612,2.714285612,2.428571463
10/25/17,2.428571463,3,2,3,3,3,2,2,2.857142925,2,2,1.714285731,2.857142925,3,3,3
11/1/17,1,3,2.714285612,3,3,3,2.857142925,2,3,2.857142925,2.857142925,2.571428537,3,3,3,3
11/8/17,3,3,3,3,3,3,3,2.571428537,3,3,3,3,3,3,3,3
11/15/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/22/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/29/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/6/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/13/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/20/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/27/17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/3/18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/10/18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/17/18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
