# average weekly smos soil freeze-thaw state for snotel sites acros Alaska,,,,,,,,,,,,,,,,
week_start,aniak,eagle_summit,galena,gobblers_knob,gulkana_river,imnaviat_creek,little_chena_ridge,mcgrath,monument_creek,mt_ryan,munson_ridge,nenana,teuchet_creek,tok,upper_chena,upper_nome_creek
4/1/15,1,1,1,1,1,1,1,0.928571463,1,1,1,1,1,1,1,1
4/8/15,1,1,1,1,1,1,1,0.928571463,1,1,1,1,1,1,1,1
4/15/15,0.571428538,1,1,1,1,1,0.571428538,0.357142866,1,0.571428538,0.571428538,0.571428538,1,1,1,1
4/22/15,0,0.428571403,0.571428538,0.857142806,0.428571403,1,0,0,0.571428538,0,0,0,0.571428538,0.285714269,1,1
4/29/15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
5/6/15,0,0,0,0,0,0.428571403,0,0,0,0,0,0,0,0,0.285714269,0.285714269
5/13/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/3/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/10/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/8/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/29/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/5/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/26/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/9/15,0,0,0,0,0,0.071428597,0,0,0,0,0,0,0,0,0,0
9/16/15,0,0,0,0,0,0.714285732,0,0,0,0,0,0,0,0,0,0
9/23/15,0,0.214285732,0,0.5,0,1,0,0,0.285714269,0,0,0,0.285714269,0,0.642857194,0.785714269
9/30/15,0,0.071428597,0,1,0,1,0,0,0.214285732,0,0,0,0.214285732,0,0.285714269,1
10/7/15,0,0.5,0,1,0,1,0.071428597,0,0,0.071428597,0.071428597,0.071428597,0,0,0.142857135,1
10/14/15,0,0.5,0,1,0,1,0,0,0.142857135,0,0,0,0.142857135,0.285714269,0.357142866,1
10/21/15,0,0.714285732,0.571428538,1,0,1,0,0,0.785714269,0,0,0,0.785714269,0.357142866,1,1
10/28/15,0,1,0.642857194,1,0.928571463,1,0,0.5,1,0,0,0.428571403,1,0.571428538,1,1
11/4/15,0.071428597,1,1,1,1,1,0,1,1,0,0,0.928571463,1,1,1,1
11/11/15,0.928571463,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
11/18/15,1,1,1,1,1,1,0.285714269,1,1,0.285714269,0.285714269,1,1,1,1,1
11/25/15,1,1,1,1,1,1,0.928571463,1,1,0.928571463,0.928571463,1,1,1,1,1
12/2/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/9/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/16/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/23/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/30/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/6/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/13/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/20/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/27/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/3/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/10/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/17/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/24/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/2/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/9/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/16/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/23/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/30/16,1,1,1,1,0.071428597,1,1,0.714285732,1,1,1,1,1,0.714285732,1,1
4/6/16,0.428571403,1,0.928571463,1,0,1,0.571428538,0.071428597,0.714285732,0.571428538,0.571428538,1,0.714285732,0,1,1
4/13/16,0,1,0.071428597,1,0,1,0,0,0,0,0,1,0,0,1,1
4/20/16,0,0.571428538,0,1,0,1,0,0,0,0,0,0.142857135,0,0,0.571428538,1
4/27/16,0,0,0,0.142857135,0,1,0,0,0,0,0,0,0,0,0,0.142857135
5/4/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/11/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/8/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/15/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/20/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/10/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/17/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/24/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/16,0,0,0,0.214285732,0,0.357142866,0,0,0,0,0,0,0,0,0,0
10/5/16,0,0.5,0,0.642857194,0,0.5,0,0,0.5,0,0,0,0.5,0.285714269,0.714285732,0.357142866
10/12/16,0,0.785714269,0,0.857142806,0.785714269,0.5,0.285714269,0,0.714285732,0.285714269,0.285714269,0,0.714285732,0.642857194,0.428571403,0.428571403
10/19/16,0.142857135,1,0.5,1,0.928571463,0.571428538,0.928571463,0.428571403,0.928571463,0.928571463,0.928571463,0.071428597,0.928571463,1,0.928571463,0.357142866
10/26/16,0.5,1,0.928571463,1,1,1,1,0.928571463,1,1,1,0.714285732,1,1,1,0.714285732
11/2/16,0.428571403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/9/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/16/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/23/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/30/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/7/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/14/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/21/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
