# weekly soil temperature (F) at 8 cm depth for snotel sites across Alaska calculated from start of day temperature,,,,,,,,,,,,,,,,
week_start,aniak,eagle_summit,galena,gobblers_knob,gulkana_river,imnaviat_creek,little_chena_ridge,mcgrath,monument_creek,mt_ryan,munson_ridge,nenana,teuchet_creek,tok,upper_chena,upper_nome_creek
4/1/15,29.57142857,26,,25.57142857,,26.71428571,31,,32,31,31,29,,23.28571429,,29.42857143
4/8/15,30.28571429,26,,26.57142857,,27,31,,32,31,31,30,,25.71428571,,30
4/15/15,30.28571429,26.28571429,,27.85714286,,26.28571429,31,,32,31,31,31,,28.14285714,,30
4/22/15,31,27,,30.85714286,,27,31,,32,31,31,31,,30.42857143,,30.85714286
4/29/15,31,27,,31,,27.42857143,31,,32,31,31,32.71428571,,33.85714286,,32
5/6/15,31,30.14285714,,33.28571429,,28.71428571,31,,32,31,31.85714286,36.28571429,,38.14285714,,31.85714286
5/13/15,31.14285714,31.14285714,,38.28571429,,30.57142857,33,,32,31,31.57142857,40.57142857,,43.85714286,,32
5/20/15,33,35.42857143,,42.14285714,,31.57142857,37.42857143,,32,31.71428571,31.85714286,43.85714286,,50.14285714,,33
5/27/15,36.28571429,37.42857143,,43.14285714,,35,40.28571429,,32.57142857,33,31.85714286,45.14285714,,51.14285714,,35.71428571
6/3/15,37.57142857,35.85714286,,41.57142857,,34.14285714,40.42857143,,33,32.71428571,32,43.57142857,,49.57142857,,36.71428571
6/10/15,38.57142857,39.71428571,,44,,38,43.28571429,,35.28571429,33.71428571,33.28571429,45.71428571,,52.28571429,,39.14285714
6/17/15,43.71428571,45.28571429,,51.14285714,,46.71428571,49.28571429,,37.85714286,35.14285714,35.57142857,50.42857143,,56.57142857,,44.28571429
6/24/15,44.14285714,45.28571429,,51,,47.85714286,50.71428571,,40,35,38.57142857,50.71428571,,57,,45.57142857
7/1/15,43.71428571,45.85714286,,51.14285714,,47.71428571,51.71428571,,42,36.85714286,40.57142857,51.71428571,,56.85714286,,47.42857143
7/8/15,45.14285714,46,,49.85714286,,48.42857143,51.71428571,,44,38.28571429,43,52.71428571,,58.14285714,,47.42857143
7/15/15,45.14285714,44.85714286,,49.71428571,,47.28571429,51.71428571,,44.42857143,40.14285714,43,52.57142857,,58.14285714,,47.42857143
7/22/15,45,46.14285714,,51.42857143,,47.14285714,52.57142857,,45.57142857,41.71428571,44.28571429,58,,58.28571429,,47.85714286
7/29/15,44.57142857,44.57142857,,50,,44.85714286,52.16666667,,46.5,42.66666667,44.83333333,57.83333333,,58.14285714,,47.42857143
8/5/15,44.66666667,45,,48.33333333,,42.33333333,53.42857143,,47.14285714,43.85714286,46.14285714,58.66666667,,56,,47.66666667
8/12/15,44.28571429,42.14285714,,47.14285714,,41,50.71428571,,46,42.71428571,44.14285714,55.71428571,,53.71428571,,46.14285714
8/19/15,44.42857143,41.71428571,,46.71428571,,39.71428571,50.14285714,,46.28571429,43,43.85714286,54.85714286,,51.85714286,,45.57142857
8/26/15,44,37.42857143,,42.42857143,,36.85714286,46,,44.14285714,41.28571429,39.28571429,49.71428571,,47.71428571,,42.57142857
9/2/15,43,37.33333333,,40.5,,33.16666667,44.85714286,,42.28571429,40,37.85714286,47.66666667,,46,,38.66666667
9/9/15,43.57142857,35.85714286,,39,,32.42857143,44.14285714,,42,39.57142857,38.71428571,47.14285714,,46.33333333,,38.42857143
9/16/15,40.71428571,32.71428571,,35.14285714,,32,40.71428571,,40.14285714,37.71428571,35.85714286,43.66666667,,42,,35.57142857
9/23/15,38.85714286,32,,32.57142857,,31.14285714,36.71428571,,37.14285714,35.57142857,34.42857143,38,,37.57142857,,33.28571429
9/30/15,40,32,,32,,31,36,,36,35,34,36.2,,34.85714286,,33
10/7/15,39.85714286,32,,31.57142857,,31,35.57142857,,35.14285714,34.14285714,33,33.42857143,,32.28571429,,33
10/14/15,36.57142857,32,,30.14285714,,31,34.57142857,,34.28571429,34,33,32,,32.28571429,,32
10/21/15,35.28571429,32,,29.71428571,,31,34.28571429,,33.71428571,33,33,31.25,,32,,32
10/28/15,34.42857143,32,,29.42857143,,31,33.28571429,,33,33,33,31,,29.14285714,,32
11/4/15,33,31.71428571,,29.71428571,,31,33,,33,32.57142857,32.57142857,31,,25.85714286,,32
11/11/15,32.57142857,31,,29.71428571,,30.57142857,32.42857143,,32.42857143,32,32,31,,22.85714286,,32
11/18/15,32,31,,29,,29,32,,32,31.42857143,32,29.75,,19.57142857,,32
11/25/15,32,31,,29.14285714,,29,32,,32,31,32,30.5,,22.28571429,,32
12/2/15,32,31,,24.14285714,,28.42857143,32,,32,31,32,29,,21.42857143,,32
12/9/15,31.85714286,31,,20,,27.14285714,32,,32,31,32,29,,21.28571429,,32
12/16/15,31.42857143,31,,22.42857143,,27,32,,32,31,32,29,,18.71428571,,32
12/23/15,31.14285714,31,,18.28571429,,26.14285714,32,,32,31,32,28.66666667,,16.57142857,,31.85714286
12/30/15,31,31,,24.71428571,,26.71428571,32,,32,31,32,29.75,,17.28571429,,31.28571429
1/6/16,31.42857143,30.42857143,,22,,26.71428571,32,,32,31,32,28.33333333,,14.71428571,,31
1/13/16,31,29.85714286,,20,,25.71428571,32,,31.57142857,31,32,,,17.71428571,,31
1/20/16,30.57142857,28.57142857,,15.14285714,,24.57142857,31.71428571,,31,31,32,24,,19.14285714,,31
1/27/16,31,28.85714286,,22.14285714,,25.71428571,31.14285714,,31,31,32,26.2,,19.14285714,,31
2/3/16,30.14285714,28.28571429,,18,,24.71428571,31,,31,31,32,24,,18.71428571,,30.71428571
2/10/16,29.14285714,28.14285714,,19,,24.42857143,31,,31,31,31.14285714,24,,17.57142857,,30
2/17/16,29.14285714,28,,17.71428571,,25,31,,30.14285714,31,31,23.75,,17.42857143,,29.85714286
